--- Report Estrazione PDF: Diario di un Witcher.pdf ---
Data: 2026-04-16 09:31:32

--- Dettagli Immagini ---
Pag001_L1_SenzaSezione_01.png | Nome PDF: Im0 | Dim: 1229x1586px | CS: ICCBased
Pag030_L30_Pesta_03.png | Nome PDF: Im0 | Dim: 92x253px | CS: ICCBased
Pag030_L30_Pesta_04.png | Nome PDF: Im0 | Dim: 150x253px | CS: ICCBased
Pag031_L31_Pesta_01.png | Nome PDF: Im0 | Dim: 216x1083px | CS: ICCBased
Pag032_L32_Pesta_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag034_L34_Tra i Cadaveri_01.png | Nome PDF: Im0 | Dim: 1227x1589px | CS: ICCBased
Pag034_L34_Tra i Cadaveri_02.png | Nome PDF: Im1 | Dim: 170x170px | CS: ICCBased
Pag036_L36_Cinghiale_01.png | Nome PDF: Im0 | Dim: 807x964px | CS: ICCBased
Pag036_L36_Cinghiale_02.png | Nome PDF: Im2 | Dim: 156x156px | CS: ICCBased
Pag036_L36_Cinghiale_03.png | Nome PDF: Im0 | Dim: 113x253px | CS: ICCBased
Pag036_L36_Cinghiale_04.png | Nome PDF: Im0 | Dim: 121x253px | CS: ICCBased
Pag037_L37_Cinghiale_01.png | Nome PDF: Im0 | Dim: 278x527px | CS: ICCBased
Pag038_L38_Orso_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag038_L38_Orso_02.png | Nome PDF: Im0 | Dim: 147x253px | CS: ICCBased
Pag040_L40_Pantera_01.png | Nome PDF: Im0 | Dim: 807x964px | CS: ICCBased
Pag041_L41_Pantera_01.png | Nome PDF: Im0 | Dim: 204x527px | CS: ICCBased
Pag041_L41_Pantera_02.png | Nome PDF: Im0 | Dim: 205x1083px | CS: ICCBased
Pag042_L42_Pantera_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag044_L44_Preda_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag044_L44_Preda_02.png | Nome PDF: Im1 | Dim: 170x170px | CS: ICCBased
Pag045_L45_Creature Maledette_01.png | Nome PDF: Im0 | Dim: 5x1589px | CS: ICCBased
Pag046_L46_Archeospora_01.png | Nome PDF: Im0 | Dim: 807x964px | CS: ICCBased
Pag046_L46_Archeospora_02.png | Nome PDF: Im2 | Dim: 156x156px | CS: ICCBased
Pag046_L46_Archeospora_03.png | Nome PDF: Im0 | Dim: 91x253px | CS: ICCBased
Pag047_L47_Archeospora_01.png | Nome PDF: Im0 | Dim: 187x527px | CS: ICCBased
Pag048_L48_Botchling_01.png | Nome PDF: Im0 | Dim: 807x964px | CS: ICCBased
Pag048_L48_Botchling_02.png | Nome PDF: Im0 | Dim: 204x253px | CS: ICCBased
Pag049_L49_Botchling_01.png | Nome PDF: Im0 | Dim: 402x527px | CS: ICCBased
Pag050_L50_Vendigo_01.png | Nome PDF: Im0 | Dim: 803x963px | CS: ICCBased
Pag050_L50_Vendigo_02.png | Nome PDF: Im0 | Dim: 358x253px | CS: ICCBased
Pag050_L50_Vendigo_03.png | Nome PDF: Im0 | Dim: 248x253px | CS: ICCBased
Pag051_L51_Vendigo_01.png | Nome PDF: Im0 | Dim: 279x527px | CS: ICCBased
Pag051_L51_Vendigo_02.png | Nome PDF: Im0 | Dim: 216x527px | CS: ICCBased
Pag051_L51_Vendigo_03.png | Nome PDF: Im0 | Dim: 733x527px | CS: ICCBased
Pag051_L51_Vendigo_04.png | Nome PDF: Im0 | Dim: 165x527px | CS: ICCBased
Pag052_L52_Vendigo_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag054_L54_L’Orfano_01.png | Nome PDF: Im0 | Dim: 1227x1589px | CS: ICCBased
Pag054_L54_L’Orfano_02.png | Nome PDF: Im1 | Dim: 171x170px | CS: ICCBased
Pag055_L55_Ibridi_01.png | Nome PDF: Im0 | Dim: 3x1589px | CS: ICCBased
Pag056_L56_Arpia_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag056_L56_Arpia_02.png | Nome PDF: Im2 | Dim: 156x156px | CS: ICCBased
Pag056_L56_Arpia_03.png | Nome PDF: Im0 | Dim: 328x253px | CS: ICCBased
Pag056_L56_Arpia_04.png | Nome PDF: Im0 | Dim: 180x253px | CS: ICCBased
Pag057_L57_Arpia_01.png | Nome PDF: Im0 | Dim: 503x527px | CS: ICCBased
Pag058_L58_Manticora_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag058_L58_Manticora_02.png | Nome PDF: Im0 | Dim: 329x253px | CS: ICCBased
Pag058_L58_Manticora_03.png | Nome PDF: Im0 | Dim: 201x253px | CS: ICCBased
Pag059_L59_Manticora_01.png | Nome PDF: Im0 | Dim: 213x1083px | CS: ICCBased
Pag060_L60_Succube & Incubo_01.png | Nome PDF: Im0 | Dim: 807x964px | CS: ICCBased
Pag060_L60_Succube & Incubo_02.png | Nome PDF: Im0 | Dim: 520x257px | CS: ICCBased
Pag060_L60_Succube & Incubo_03.png | Nome PDF: Im0 | Dim: 203x253px | CS: ICCBased
Pag061_L61_Succube & Incubo_01.png | Nome PDF: Im0 | Dim: 234x527px | CS: ICCBased
Pag061_L61_Succube & Incubo_02.png | Nome PDF: Im0 | Dim: 177x1083px | CS: ICCBased
Pag062_L62_Succube & Incubo_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag064_L64_Gli Occhi del Cacciatore_01.png | Nome PDF: Im0 | Dim: 1227x1589px | CS: ICCBased
Pag064_L64_Gli Occhi del Cacciatore_02.png | Nome PDF: Im1 | Dim: 171x170px | CS: ICCBased
Pag065_L65_Insettoidi_01.png | Nome PDF: Im0 | Dim: 3x1589px | CS: ICCBased
Pag066_L66_Barbegazi_01.png | Nome PDF: Im0 | Dim: 807x964px | CS: ICCBased
Pag066_L66_Barbegazi_02.png | Nome PDF: Im2 | Dim: 156x156px | CS: ICCBased
Pag066_L66_Barbegazi_03.png | Nome PDF: Im0 | Dim: 320x253px | CS: ICCBased
Pag066_L66_Barbegazi_04.png | Nome PDF: Im0 | Dim: 152x253px | CS: ICCBased
Pag066_L66_Barbegazi_05.png | Nome PDF: Im0 | Dim: 56x253px | CS: ICCBased
Pag067_L67_Barbegazi_01.png | Nome PDF: Im0 | Dim: 139x1083px | CS: ICCBased
Pag068_L68_Frightener_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag068_L68_Frightener_02.png | Nome PDF: Im0 | Dim: 328x253px | CS: ICCBased
Pag068_L68_Frightener_03.png | Nome PDF: Im0 | Dim: 63x253px | CS: ICCBased
Pag068_L68_Frightener_04.png | Nome PDF: Im0 | Dim: 269x253px | CS: ICCBased
Pag068_L68_Frightener_05.png | Nome PDF: Im0 | Dim: 179x253px | CS: ICCBased
Pag069_L69_Frightener_01.png | Nome PDF: Im0 | Dim: 263x527px | CS: ICCBased
Pag069_L69_Frightener_02.png | Nome PDF: Im0 | Dim: 176x527px | CS: ICCBased
Pag070_L70_Scolopendra Gigante_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag070_L70_Scolopendra Gigante_02.png | Nome PDF: Im0 | Dim: 181x253px | CS: ICCBased
Pag070_L70_Scolopendra Gigante_03.png | Nome PDF: Im0 | Dim: 136x253px | CS: ICCBased
Pag071_L71_Scolopendra Gigante_01.png | Nome PDF: Im0 | Dim: 233x527px | CS: ICCBased
Pag072_L72_Scolopendra Gigante_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag074_L74_Strisciando nei Tunnel_01.png | Nome PDF: Im0 | Dim: 1227x1589px | CS: ICCBased
Pag074_L74_Strisciando nei Tunnel_02.png | Nome PDF: Im1 | Dim: 170x170px | CS: ICCBased
Pag075_L75_Costrutti_01.png | Nome PDF: Im0 | Dim: 3x1589px | CS: ICCBased
Pag076_L76_Elementale di Fuoco_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag076_L76_Elementale di Fuoco_02.png | Nome PDF: Im2 | Dim: 156x156px | CS: ICCBased
Pag076_L76_Elementale di Fuoco_03.png | Nome PDF: Im0 | Dim: 62x253px | CS: ICCBased
Pag076_L76_Elementale di Fuoco_04.png | Nome PDF: Im0 | Dim: 150x253px | CS: ICCBased
Pag077_L77_Elementale di Fuoco_01.png | Nome PDF: Im0 | Dim: 204x527px | CS: ICCBased
Pag078_L78_Elementale di Ghiaccio_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag079_L79_Elementale di Ghiaccio_01.png | Nome PDF: Im0 | Dim: 317x527px | CS: ICCBased
Pag080_L80_Elementale di Terra_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag081_L81_Elementale di Terra_01.png | Nome PDF: Im0 | Dim: 363x527px | CS: ICCBased
Pag082_L82_Elementale di Terra_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag084_L84_Incendio_01.png | Nome PDF: Im0 | Dim: 1227x1589px | CS: ICCBased
Pag084_L84_Incendio_02.png | Nome PDF: Im1 | Dim: 170x170px | CS: ICCBased
Pag085_L85_Creature Ancestrali_01.png | Nome PDF: Im0 | Dim: 3x1589px | CS: ICCBased
Pag086_L86_Godling_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag086_L86_Godling_02.png | Nome PDF: Im2 | Dim: 156x156px | CS: ICCBased
Pag086_L86_Godling_03.png | Nome PDF: Im0 | Dim: 492x257px | CS: ICCBased
Pag086_L86_Godling_04.png | Nome PDF: Im0 | Dim: 203x253px | CS: ICCBased
Pag086_L86_Godling_05.png | Nome PDF: Im0 | Dim: 120x253px | CS: ICCBased
Pag088_L88_Leshen_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag088_L88_Leshen_02.png | Nome PDF: Im0 | Dim: 457x257px | CS: ICCBased
Pag088_L88_Leshen_03.png | Nome PDF: Im0 | Dim: 196x253px | CS: ICCBased
Pag089_L89_Leshen_01.png | Nome PDF: Im0 | Dim: 393x527px | CS: ICCBased
Pag089_L89_Leshen_02.png | Nome PDF: Im0 | Dim: 538x527px | CS: ICCBased
Pag089_L89_Leshen_03.png | Nome PDF: Im0 | Dim: 261x527px | CS: ICCBased
Pag089_L89_Leshen_04.png | Nome PDF: Im0 | Dim: 404x527px | CS: ICCBased
Pag090_L90_Shaelmaar_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag090_L90_Shaelmaar_02.png | Nome PDF: Im0 | Dim: 181x253px | CS: ICCBased
Pag091_L91_Shaelmaar_01.png | Nome PDF: Im0 | Dim: 300x527px | CS: ICCBased
Pag091_L91_Shaelmaar_02.png | Nome PDF: Im0 | Dim: 204x527px | CS: ICCBased
Pag092_L92_Shaelmaar_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag093_L93_In Miniera_01.png | Nome PDF: Im0 | Dim: 5x1589px | CS: ICCBased
Pag094_L94_In Miniera_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag094_L94_In Miniera_02.png | Nome PDF: Im1 | Dim: 170x170px | CS: ICCBased
Pag096_L96_Battiroccia_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag096_L96_Battiroccia_02.png | Nome PDF: Im2 | Dim: 156x156px | CS: ICCBased
Pag096_L96_Battiroccia_03.png | Nome PDF: Im0 | Dim: 550x257px | CS: ICCBased
Pag096_L96_Battiroccia_04.png | Nome PDF: Im0 | Dim: 144x253px | CS: ICCBased
Pag097_L97_Battiroccia_01.png | Nome PDF: Im0 | Dim: 232x527px | CS: ICCBased
Pag097_L97_Battiroccia_02.png | Nome PDF: Im0 | Dim: 212x527px | CS: ICCBased
Pag098_L98_Ciclope_01.png | Nome PDF: Im0 | Dim: 807x964px | CS: ICCBased
Pag098_L98_Ciclope_02.png | Nome PDF: Im0 | Dim: 461x257px | CS: ICCBased
Pag098_L98_Ciclope_03.png | Nome PDF: Im0 | Dim: 181x253px | CS: ICCBased
Pag098_L98_Ciclope_04.png | Nome PDF: Im0 | Dim: 180x253px | CS: ICCBased
Pag099_L99_Ciclope_01.png | Nome PDF: Im0 | Dim: 152x1083px | CS: ICCBased
Pag100_L100_Troll_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag100_L100_Troll_02.png | Nome PDF: Im0 | Dim: 508x257px | CS: ICCBased
Pag100_L100_Troll_03.png | Nome PDF: Im0 | Dim: 208x253px | CS: ICCBased
Pag102_L102_Troll_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag104_L104_Un Cacciatore di Troppo_01.png | Nome PDF: Im0 | Dim: 1227x1589px | CS: ICCBased
Pag104_L104_Un Cacciatore di Troppo_02.png | Nome PDF: Im1 | Dim: 170x170px | CS: ICCBased
Pag106_L106_Cockatrice_01.png | Nome PDF: Im0 | Dim: 803x965px | CS: ICCBased
Pag106_L106_Cockatrice_02.png | Nome PDF: Im2 | Dim: 156x156px | CS: ICCBased
Pag107_L107_Cockatrice_01.png | Nome PDF: Im0 | Dim: 213x1083px | CS: ICCBased
Pag108_L108_Fenice_01.png | Nome PDF: Im0 | Dim: 807x964px | CS: ICCBased
Pag108_L108_Fenice_02.png | Nome PDF: Im0 | Dim: 403x257px | CS: ICCBased
Pag109_L109_Fenice_01.png | Nome PDF: Im0 | Dim: 262x527px | CS: ICCBased
Pag109_L109_Fenice_02.png | Nome PDF: Im0 | Dim: 263x527px | CS: ICCBased
Pag110_L110_Scaltrocertola_01.png | Nome PDF: Im0 | Dim: 807x964px | CS: ICCBased
Pag111_L111_Scaltrocertola_01.png | Nome PDF: Im0 | Dim: 205x527px | CS: ICCBased
Pag111_L111_Scaltrocertola_02.png | Nome PDF: Im0 | Dim: 318x527px | CS: ICCBased
Pag112_L112_Scaltrocertola_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag114_L114_Fuoco dal Cielo_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag114_L114_Fuoco dal Cielo_02.png | Nome PDF: Im1 | Dim: 170x170px | CS: ICCBased
Pag116_L116_Bruxa_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag116_L116_Bruxa_02.png | Nome PDF: Im2 | Dim: 156x156px | CS: ICCBased
Pag116_L116_Bruxa_03.png | Nome PDF: Im0 | Dim: 247x253px | CS: ICCBased
Pag116_L116_Bruxa_04.png | Nome PDF: Im0 | Dim: 491x257px | CS: ICCBased
Pag117_L117_Bruxa_01.png | Nome PDF: Im0 | Dim: 148x527px | CS: ICCBased
Pag117_L117_Bruxa_02.png | Nome PDF: Im0 | Dim: 260x527px | CS: ICCBased
Pag118_L118_Garkain_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag118_L118_Garkain_02.png | Nome PDF: Im0 | Dim: 225x253px | CS: ICCBased
Pag118_L118_Garkain_03.png | Nome PDF: Im0 | Dim: 119x253px | CS: ICCBased
Pag119_L119_Garkain_01.png | Nome PDF: Im0 | Dim: 176x527px | CS: ICCBased
Pag119_L119_Garkain_02.png | Nome PDF: Im0 | Dim: 260x527px | CS: ICCBased
Pag120_L120_Plumard_01.png | Nome PDF: Im0 | Dim: 807x964px | CS: ICCBased
Pag120_L120_Plumard_02.png | Nome PDF: Im0 | Dim: 203x253px | CS: ICCBased
Pag120_L120_Plumard_03.png | Nome PDF: Im0 | Dim: 89x253px | CS: ICCBased
Pag122_L122_Plumard_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag124_L124_Su Ali d’Ombra_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag126_L126_Mostri Eccezionali_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag130_L130_Vero Drago_01.png | Nome PDF: Im0 | Dim: 807x964px | CS: ICCBased
Pag130_L130_Vero Drago_02.png | Nome PDF: Im0 | Dim: 177x253px | CS: ICCBased
Pag130_L130_Vero Drago_03.png | Nome PDF: Im0 | Dim: 521x257px | CS: ICCBased
Pag131_L131_Vero Drago_01.png | Nome PDF: Im0 | Dim: 204x1083px | CS: ICCBased
Pag132_L132_Background di un Vero Drago_01.png | Nome PDF: Im0 | Dim: 326x1083px | CS: ICCBased
Pag132_L132_Background di un Vero Drago_02.png | Nome PDF: Im0 | Dim: 448x507px | CS: ICCBased
Pag132_L132_Background di un Vero Drago_03.png | Nome PDF: Im0 | Dim: 467x507px | CS: ICCBased
Pag132_L132_Background di un Vero Drago_04.png | Nome PDF: Im0 | Dim: 897x540px | CS: ICCBased
Pag133_L133_Background di un Vero Drago_01.png | Nome PDF: Im0 | Dim: 817x635px | CS: ICCBased
Pag133_L133_Background di un Vero Drago_02.png | Nome PDF: Im0 | Dim: 418x635px | CS: ICCBased
Pag133_L133_Background di un Vero Drago_03.png | Nome PDF: Im0 | Dim: 1362x411px | CS: ICCBased
Pag134_L134_Background di un Vero Drago_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag138_L138_Vampiro Superiore_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag138_L138_Vampiro Superiore_02.png | Nome PDF: Im0 | Dim: 225x253px | CS: ICCBased
Pag138_L138_Vampiro Superiore_03.png | Nome PDF: Im0 | Dim: 163x253px | CS: ICCBased
Pag139_L139_Vampiro Superiore_01.png | Nome PDF: Im0 | Dim: 148x527px | CS: ICCBased
Pag139_L139_Vampiro Superiore_02.png | Nome PDF: Im0 | Dim: 261x527px | CS: ICCBased
Pag139_L139_Vampiro Superiore_03.png | Nome PDF: Im0 | Dim: 373x527px | CS: ICCBased
Pag140_L140_Background di un Vampiro Superiore_01.png | Nome PDF: Im0 | Dim: 288x377px | CS: ICCBased
Pag140_L140_Background di un Vampiro Superiore_02.png | Nome PDF: Im0 | Dim: 567x380px | CS: ICCBased
Pag140_L140_Background di un Vampiro Superiore_03.png | Nome PDF: Im0 | Dim: 958x668px | CS: ICCBased
Pag141_L141_Background di un Vampiro Superiore_01.png | Nome PDF: Im0 | Dim: 771x635px | CS: ICCBased
Pag141_L141_Background di un Vampiro Superiore_02.png | Nome PDF: Im0 | Dim: 494x635px | CS: ICCBased
Pag141_L141_Background di un Vampiro Superiore_03.png | Nome PDF: Im0 | Dim: 1287x411px | CS: ICCBased
Pag142_L142_Componenti_01.png | Nome PDF: Im0 | Dim: 31x32px | CS: ICCBased
Pag142_L142_Componenti_02.png | Nome PDF: Im1 | Dim: 31x32px | CS: ICCBased
Pag142_L142_Componenti_03.png | Nome PDF: Im2 | Dim: 31x32px | CS: Indexed
Pag142_L142_Componenti_04.png | Nome PDF: Im3 | Dim: 31x32px | CS: ICCBased
Pag142_L142_Componenti_05.png | Nome PDF: Im4 | Dim: 31x32px | CS: Indexed
Pag142_L142_Componenti_06.png | Nome PDF: Im5 | Dim: 31x32px | CS: Indexed
Pag142_L142_Componenti_07.png | Nome PDF: Im6 | Dim: 31x32px | CS: ICCBased
Pag142_L142_Componenti_08.png | Nome PDF: Im7 | Dim: 31x32px | CS: ICCBased
Pag142_L142_Componenti_09.png | Nome PDF: Im8 | Dim: 31x32px | CS: ICCBased
Pag142_L142_Componenti_10.png | Nome PDF: Im0 | Dim: 966x803px | CS: ICCBased
Pag142_L142_Componenti_11.png | Nome PDF: Im0 | Dim: 122x803px | CS: ICCBased
Pag143_L143_Componenti_01.png | Nome PDF: Im0 | Dim: 1319x807px | CS: ICCBased
Pag144_L144_Componenti_01.png | Nome PDF: Im0 | Dim: 955x800px | CS: ICCBased
Pag144_L144_Componenti_02.png | Nome PDF: Im0 | Dim: 107x800px | CS: ICCBased
Pag145_L145_Mutageni_01.png | Nome PDF: Im0 | Dim: 1229x510px | CS: ICCBased
Pag145_L145_Mutageni_02.png | Nome PDF: Im0 | Dim: 776x803px | CS: ICCBased
Pag146_L146_Indagini_01.png | Nome PDF: Im7 | Dim: 1227x404px | CS: ICCBased
Pag147_L147_Indagini_01.png | Nome PDF: Im0 | Dim: 288x803px | CS: ICCBased
Pag147_L147_Indagini_02.png | Nome PDF: Im0 | Dim: 271x803px | CS: ICCBased
Pag148_L148_Indagini_01.png | Nome PDF: Im0 | Dim: 729x819px | CS: ICCBased
Pag149_L149_Indizi_01.png | Nome PDF: Im0 | Dim: 253x247px | CS: ICCBased
Pag149_L149_Indizi_02.png | Nome PDF: Im0 | Dim: 883x1083px | CS: ICCBased
Pag150_L150_Indizi_01.png | Nome PDF: Im0 | Dim: 121x803px | CS: ICCBased
Pag150_L150_Indizi_02.png | Nome PDF: Im0 | Dim: 484x803px | CS: ICCBased
Pag151_L151_Indizi_01.png | Nome PDF: Im0 | Dim: 601x803px | CS: ICCBased
Pag153_L153_Indizi_01.png | Nome PDF: Im0 | Dim: 1229x783px | CS: ICCBased
Pag155_L155_Contratti_01.png | Nome PDF: Im7 | Dim: 988x470px | CS: ICCBased
Pag155_L155_Contratti_02.png | Nome PDF: Im8 | Dim: 988x437px | CS: ICCBased
Pag156_L156_Contratti_01.png | Nome PDF: Im0 | Dim: 988x517px | CS: ICCBased
Pag156_L156_Contratti_02.png | Nome PDF: Im2 | Dim: 988x284px | CS: ICCBased
Pag157_L157_Contratti_01.png | Nome PDF: Im0 | Dim: 988x544px | CS: ICCBased
Pag157_L157_Contratti_02.png | Nome PDF: Im1 | Dim: 988x192px | CS: ICCBased
Pag158_L158_Contratti_01.png | Nome PDF: Im0 | Dim: 988x719px | CS: ICCBased
Pag158_L158_Contratti_02.png | Nome PDF: Im1 | Dim: 990x561px | CS: ICCBased
