"Nome","Categoria","Tipo di Danno","Precisione (PA)","Danno (DAN)","Affidabilità","Mani Necessarie","Gittata","Effetti","Occultabilità","Slot Potenziamenti","Peso (kg)","Costo (Corone)","Descrizione"
"Balestra da Cacciatore di Mostri","Balestre","P","+1","6d6","15","2","200m","Ricarica Lenta, Trapassare","N/A","1","4","1125","Un mostro di balestra: lunga oltre un metro, richiede un verricello per caricarla, concepita per trapassare corazze e scaglie mostruose."
"Messer Elfico","Razze Antiche","P/T","+2","3d6+4","15","1","N/A","Sanguinamento (25%)","G","2","2","595","Enormi coltelli ricurvi ideati inizialmente dai Nazairiani disarmati e poi perfezionati dagli elfi in armi letali."
"Spada da Cavalleria Vrihedd","Razze Antiche","P/T","+3","4d6+4","15","1","N/A","Nessuno","G","0","2,5","745","Letali lame forgiate in acciaio bluastro, usate dai famigerati commando cavallereschi elfici della brigata Vrihedd."
"Spada Meteoritica","Razze Antiche","P/T","+1","5d6","20","2","N/A","Bilanciata, Meteorite","N/A","2","3","875","Armi dal riflesso inconfondibile, forgiate con l'ausilio di rari metalli meteoritici: bilanciate, super robuste ma stranamente leggere."
"Gwyhyr Gnomesca","Razze Antiche","P/T","+3","5d6+3","15","2","N/A","Sanguinamento (50%)","N/A","2","2,5","1090","Ritenuta la migliore spada al mondo, forgiata dagli gnomi: lama nera affilatissima con cui ci si potrebbe radere."
"Lama del Tir Tochair","Razze Antiche","P/T","+3","6d6","15","2","N/A","Sanguinamento (25%)","N/A","2","3","1175","Spade naniche affilate come rasoi, decorate da cima a fondo con sottilissime iscrizioni del popolo degli gnomi."
"Daga a Rondelle Halfling","Razze Antiche","P/T","+2","2d6+2","10","1","N/A","Trapassare","P","1","1","485","Sottilissima e robusta daga ideata per essere conficcata tra le fessure delle armature pesanti e squartare senza resistenza."
"Mannaia Nanica","Razze Antiche","T/C","+2","3d6","15","1","N/A","Nessuno","P","1","1,5","500","Non saranno armi lunghe o aggraziate, ma tranciano gli arti ad alberi e persone indifferentemente."
"Ascia Nanica","Razze Antiche","T","+3","5d6+3","15","1","N/A","Nessuno","G","1","4","740","Un muro massiccio di metallo: le due teste da guerra la rendono l'arma simbolo dell'amore nanico per i danni devastanti."
"Ascia Nera Gnomesca","Razze Antiche","T","+2","6d6+2","15","2","N/A","Nessuno","N/A","2","2,5","910","Arma gnomesca apparentemente leggera per il suo massiccio profilo, ma forgiata e incantata per fendere in due pesanti armature."
"Martello d'Armi Mahakaman","Razze Antiche","C","0","5d6","15","2","N/A","Trapassare","G","1","3,5","750","Rara ascia ibrida con testa di martello e pesante spuntone perforante; viene usata soprattutto dai nani."
"Mazzafrusto Meteoritico","Razze Antiche","C","+2","6d6","20","1","N/A","Presa, Meteorite","N/A","2","4","900","Un'arma di gran classe per i nani: palla chiodata di acciaio meteoritico ancorata a una spessa catena."
"Mazzapicchio Nanico","Razze Antiche","C/P","0","5d6+2","15","2","N/A","Portata, Stordimento (-2)","N/A","1","4","835","Robusta pertica di due metri con testa a martello, lungo spuntone e uncino per strappare; un'arma difensiva perfetta."
"Falcione Elfico","Razze Antiche","T/P/C","+2","4d6+3","10","2","N/A","Portata, Sanguinamento (25%)","N/A","2","3","925","Armi tipiche delle vecchie guardie di palazzo Aen Seidhe, aste di straordinaria fattura con una lama curca eccezionale in cima."
"Bastone Gnomesco","Razze Antiche","C","+1","3d6+2","15","2","N/A","Portata, Focus (3)","G","2","2,5","910","Realizzati in legno tinto, decorati in modo superbo con gemme pregiate, tra i migliori focus disponibili."
"Bastone da Passeggio Elfico","Razze Antiche","C","+1","3d6","10","2","N/A","Portata, Focus (3), Focus Superiore","N/A","2","1,5","975","Usati dai grandi Saggi elfici per passeggiare e incanalare enormi poteri magici, ornati in seta e vero oro."
"Arco da Viaggio Elfico","Razze Antiche","P","+1","4d6","10","2","200m","Nessuno","G","1","1","575","Pratica versione in miniatura dello zefhar; si ripiega smontando la corda in modo da poter essere portato in una sacca."
"Zefhar Elfico","Razze Antiche","P","+2","6d6","10","2","350m","Trapassare Migliorato","N/A","2","2,5","1100","Il gran vanto degli elfi: un ingegnoso arco a quattro braccia che raddoppia la potenza delle frecce senza aumentare il peso totale."
"Balestrino Gnomesco","Razze Antiche","P","+3","2d6","10","1","100m","Ricarica Lenta","P","1","1","425","Costruito come una delicatissima opera d'arte letale, fonde lavorazioni metalliche con il robusto e leggero legno nero gnomesco."
"Balestra Pesante Nanica","Razze Antiche","P","+3","5d6","15","2","300m","Ricarica Lenta","N/A","2","3,5","850","Pensata per la grande potenza muscolare nanica; viene venduta con una speciale leva a pié di capra per umani ed elfi."
"Gatto (Acciaio)","Arma da Witcher","P/T","+2","4d6+2","15","1","N/A","Meteorite, Sanguinamento (30%), Trapassare","N/A","2","2,5","N/A","Letale lama forgiata dai witcher della Scuola del Gatto per i nemici non magici, concepita per sfruttare il loro stile sanguinario e brutale."
"Gatto (Argento)","Arma da Witcher","P/T","+2","1d6+2","10","1","N/A","Argento (3d6), Sanguinamento (30%)","N/A","2","1,5","N/A","Arma specifica per la caccia ai mostri utilizzata dai witcher della Scuola del Gatto, che infonde emorragie devastanti."
"Gatto (Balestra)","Arma da Witcher","P","+1","2d6+2","5","1","50m","Bilanciata, Ricarica Lenta","G","1","0,5","N/A","Balestra in dotazione ai witcher assassini per gli attacchi a distanza con dardi letali."
"Grifone (Acciaio)","Arma da Witcher","P/T","+1","5d6+2","15","1","N/A","Focus (1), Meteorite, Trapassare","N/A","2","2,5","N/A","Lama forgiata appositamente con poteri conduttivi per permettere ai witcher della Scuola del Grifone di lanciare meglio i Segni in combattimento."
"Grifone (Argento)","Arma da Witcher","P/T","+1","2d6+2","10","1","N/A","Argento (3d6), Focus (1)","N/A","2","1,5","N/A","Arma antro-mostro dei Grifoni che combina il potere caustico dell'argento all'incanalamento del potere magico dei witcher."
"Grifone (Balestra)","Arma da Witcher","P","+1","2d6+2","5","1","50m","Ricarica Lenta, Trapassare Migliorato","G","1","0,5","N/A","Un'arma specializzata per perforare anche i mostri volanti più pesantemente corazzati a corto raggio."
"Lupo (Acciaio)","Arma da Witcher","P/T","+1","5d6+2","15","1","N/A","Meteorite, Trapassare Migliorato","N/A","3","2,5","N/A","Lame d'acciaio forgiate a Kaer Morhen e usate per combattere e recidere le protezioni e gli arti nemici in una frazione di secondo."
"Lupo (Argento)","Arma da Witcher","P/T","+1","2d6+2","10","1","N/A","Argento (3d6), Trapassare","N/A","3","1,5","N/A","Lo strumento definitivo per abbattere creature letali di ogni forma, posseduta dagli allievi di Vesemir."
"Manticora (Acciaio)","Arma da Witcher","P/T","+1","5d6+2","15","1","N/A","Bilanciata, Meteorite, Trapassare","N/A","2","2,5","N/A","In dotazione ai cacciatori della dinastia orientale, studiate per infliggere un numero letale di colpi critici perfetti."
"Manticora (Argento)","Arma da Witcher","P/T","+1","2d6+2","10","1","N/A","Argento (3d6), Bilanciata","N/A","2","1,5","N/A","Leggera e rapida, forgiata per adattarsi all'uso dello scudo e agli elisir per i quali la Scuola della Manticora è famosa."
"Orso (Acciaio)","Arma da Witcher","P/T","0","6d6+2","15","1","N/A","Ablativa, Meteorite, Trapassare","N/A","2","2,5","N/A","Pesantissimo pezzo di acciaio forgiato a Skellige o sugli Amell, congegnato per sfasciare armature e abbattere i bersagli a terra."
"Orso (Argento)","Arma da Witcher","P/T","0","3d6+2","10","1","N/A","Ablativa, Argento (3d6)","N/A","2","1,5","N/A","Usata in sinergia alla spaventosa prestanza dei witcher della Scuola dell'Orso per disintegrare le masse rocciose dei costrutti e la carne dei mostri."
"Orso (Balestra)","Arma da Witcher","P","+1","4d6+2","5","1","50m","Ricarica Lenta","G","1","0,5","N/A","Strumento massiccio con potenza di fuoco impressionante pensato per spezzare le ossa dall'alto potenziale difensivo dei nemici rintanati in quota."
"Vipera (Acciaio)","Arma da Witcher","P/T","+2","4d6+2","15","1","N/A","Avvelenato (30%), Meteorite, Trapassare","N/A","2","2,5","N/A","La letale e infida spada dei witcher delle Vipere del sud, bagnata da venefiche soluzioni mortali fin dal concepimento."
"Vipera (Argento)","Arma da Witcher","P/T","+2","1d6+2","10","1","N/A","Avvelenato (30%), Argento (3d6)","N/A","2","1,5","N/A","Forgiata per braccare demoni o creature mostruose con la stessa metodologia da assassino e avvelenatore per cui la scuola è tristemente conosciuta."
"Vipera (Zanna)","Arma da Witcher","P/T","+1","2d6+2","10","1","N/A","Parata","P","1","0,5","N/A","Lame secondarie più corte (delle ""Zanne"") perfette per essere impugnate nella seconda mano per parare mentre la lama più lunga dilania."
"Lumaca (Acciaio)","Arma da Witcher","P/T","-6","8d6","20","2","N/A","Ablativa, Forza Schiacciante, Meteorite, Stordimento (-2), Trapassare","N/A","1","5","N/A","Grottesca e letale, la massiccia e ridicola arma principale ideata dal leggendario Broderick il Bisteccone (Contenuto goliardico)."
"Lumaca (Argento)","Arma da Witcher","P/T","-6","5d6","15","2","N/A","Ablativa, Argento (3d6), Forza Schiacciante, Stordimento (-2)","N/A","1","3","N/A","Lama per uccidere i mostri immensa, pesante e brutale ideata dalla perduta Scuola della Lumaca (Contenuto goliardico)."
"Asta","Improvvisata / Villico","C","0","2d6","10","2","N/A","Non-Letale, Portata","N/A","0","3","96","Solida e grezza asta per tenere a bada i briganti, utilizzata dai contadini."
"Badile","Improvvisata / Villico","C","-3","2d6","15","2","N/A","Non-Letale","N/A","0","2","105","Strumento da lavoro rurale, non particolarmente nato per uccidere ma può fermare le minacce con pesanti percosse se usato da un contadino robusto."
"Pala","Improvvisata / Villico","C","-2","2d6","15","2","N/A","Arma Improvvisata","G","0","1,5","15","Mai sottovalutare una pala robusta, perfetta per scavare nascondigli e, se disperati, rompere la testa dei Nilfgaardiani ficcanaso."
"Bordone da Pastore","Improvvisata / Villico","C","0","1d6-2","10","1","FISx2m","Non-Letale","G","0","1","14","Utilizzato tipicamente per richiamare il gregge, ma può infliggere lividi dolorosi e sgraditi ai briganti di poco conto."
"Falce","Improvvisata / Villico","P/T","-3","3d6","10","2","N/A","Portata, Presa","N/A","0","3,5","126","Quando non c'è possibilità di fuggire, la falce da contadino diventa una delle armi più grottesche da sventrare i ventri dei cavalieri o per agganciarli e tirarli a terra."
"Falcetto","Improvvisata / Villico","P/T","0","1d6+2","10","1","N/A","Presa","P","0","1","76","Ideale per estirpare il grano o, nella mischia, afferrare gli arti del nemico e strappare la carne."
"Forcone","Improvvisata / Villico","P","-2","2d6+2","15","2","N/A","Sanguinamento (15%)","N/A","0","2","115","Arma simbolo delle peggiori rivolte cittadine; famigerata letalità perfino verso coloro che sono i migliori spadaccini al mondo."
"Torcia","Improvvisata / Villico","C","-1","1d6","5","1","N/A","Fuoco (25%) se accesa","P","0","0,1","1","Fa abbastanza luce nell'oscurità ed è un buon randello improvvisato che incute terrore nei mostri quando brucia."
"Rete con Pesi","Strumenti Speciali","N/A","0","N/A","5","2","4m","Intrappolante","G","0","4","125","Un classico puro e semplice: corde intrecciate con pesi alle estremità usata per gettarsi sulla preda e paralizzare ogni fuga."
"Rete per Mostri","Strumenti Speciali","N/A","0","N/A","5","2","4m","Ancora Magica, Intrappolante","G","0","4","500","Variante infusa chimicamente impiegata dai Cacciatori di Streghe per bloccare e reprimere la magia di bersagli incantatori o di maledetti."
"Scorpione (Balista)","Strumenti Speciali","P","0","10d6","20","2","200m","Serventi, Postazione","N/A","0","40","2500","Una mastodontica e minuscola macchina d'assedio che richiede postazione, scaglia dardi mortali capace di causare enormi fori e respingere colossali soldati o mostri."
"Siringa da Campo","Strumenti Speciali","P","+1","1d6","5","1","N/A","Iniezione, Trapassare","M","0","0,5","350","Pericoloso arnese medico che quando il possessore è disperato si tramuta in un ago letale e inocula veleni o elisir caustici nei corpi indifesi dei nemici."
"Sperone d'Arpia","Strumenti Speciali","P","+1","1d6","10","1","FISx4m","Avvelenato (90%), Bilanciato","M","0","5","450","Strano coltello da lancio a lama dritta velenosissimo che vola dritto e non tradisce mai il letale veleno con cui viene spruzzato e intriso."
"Spezzalama","Strumenti Speciali","P/S","0","2d6","10","1","N/A","Intrappola-Lama","P","1","1","500","Strumento insolito provvisto di pesanti denti incisi; si usa alla rovescia per disarmare una lama e imprigionarla prima di uccidere colpugnale."
"Arco Lunare","Reliquie","P","+1","8d6+2","10","2","200m","Congelamento (75%), Bilanciato, +3 vs Spettri","N/A","3","2","N/A","Arco leggendario incantato di estremo valore per perseguitare e abbattere gli insidiosi spettri intangibili."
"Bacchetta della Succube","Reliquie","C","0","3d6+2","5","2","N/A","Portata, Fuoco (25%), +2 Seduzione, Focus Sup (Fuoco), Focus (5)","N/A","3","2","N/A","Creato da uno studente di Ban Ard infatuato dell'oscuro e ipnotizzante potere della succube-maga Nerys; un incredibile focus di magia nera."
"Caroline","Reliquie","P/T","+3","9d6","15","2","N/A","Focus Sup (Acqua), +25 PS, Bilanciata, Sang (75%)","N/A","3","3","N/A","Antica spada magica che garantisce vitalità incredibile; donata da un ignaro marinaio di nome Geoff a sua moglie Caroline prima di imbarcarsi."
"Decapitatore","Reliquie","T","0","10d6","20","2","N/A","Bilanciata, Sang (100%), Meteorite","N/A","3","3","N/A","Ascia a due mani in acciaio meteoritico impugnata in tempo di guerra dallo spaventoso ex boia Taavetti di Metinna; reca scolpite le leggi imperiali nilfgaardiane."
"Destino","Reliquie","P/T","+3","2d6+1","10","2","N/A","Argento (6d6+4), Focus Sup (Acqua/Fuoco), Vacillante (75%)","N/A","3","4","N/A","Una letale e prodigiosa spada in argento costruita in tutta fretta dal superstizioso artigiano nano Vladov Varga per beffare e disintegrare le orrende profezie sul suo fato."
"Devine","Reliquie","P/T","0","10d6","20","2","N/A","Focus Sup (Aria), Stordimento (2), Trapassare, Meteorite","N/A","3","2","N/A","Spada spaventosa imbevuta del potere atmosferico di un djinn dell'aria, che venne forgiata dal mago Heniek di Attre per il terrorizzato Lord Cedric."
"Lupo","Reliquie","P/T","+2","7d6","15","2","N/A","Trapassare, Sang (75%)","N/A","3","4","N/A","L'arma con cui fu freddato Uffe la ""Lama Sanguinaria"" tramutato in un ferale mostro. Da quel giorno conserva uno spaventoso barlume dell'orribile lupo mannaro assassinato."
"Mannaia di Hood","Reliquie","P/T","0","8d6+2","20","2","N/A","Trapassare, Bilanciata (+5), Meteorite","N/A","3","3","N/A","Lama donata dallo stesso Imperatore al devastante eroe Ulster Hood di Gemmera, nera come la pece; poi ribattezzata per colpa di stupidi errori di traduzione."
"Maugrim","Reliquie","P/T","0","2d6","10","2","N/A","Argento (6d6+4), Focus Sup (Terra/Acqua), Bilanciata, Congelamento (75%)","N/A","3","6","N/A","Ritrovata durante una mattanza mostruosa vicino alla capitale da ignari e sanguinanti esploratori; trasuda gelo e terrore oscuro puro."
"Morte Rossa","Reliquie","P","+2","10d6","15","2","300m","Avvelenato (100%), +3 Fatture e Res Magia","N/A","3","2,5","N/A","Estrema e terrificante balestra massiccia in grado di infliggere tremende piaghe; commissionata dal medico Boia di Gwendieth per spurgare ed epurare gli infermi."
"Ogh'r","Reliquie","C","0","10d6","15","2","N/A","Stordimento (4), Bilanciata","N/A","3","5","N/A","Un tremendo pezzo di puro metallo forgiato per fracassare ogni corazza; maneggiato originariamente dall'intelligenza spaventosa di Rogar Testadura, il folle Troll di grotta."
"Sentinella dell'Abisso","Reliquie","P/C","+2","7d6+4","10","2","FISx2m","Congelamento (75%), Focus Sup (Acqua), Portata","N/A","3","4","N/A","Antichissimo arpione recuperato in un mercato; ricoperto di alghe ma vibrante di antiche e luminescenti rune ignote color fiamma. Il metallo è inafferrabile e gelido."
"Spada Lunare","Reliquie","S/P","+1","3d6","10","2","N/A","Argento (7d6+4), Focus Sup","N/A","3","4","N/A","La magnifica e scintillante sciabola argentea intrisa dei riti sacerdotali a Lilvani. Finì per massacrare spietatamente il demone che Trystan di Ellander cercò ingenuamente di evocare."
"Spina","Reliquie","P/T","+3","3d6","15","1","FISx2m","Sang (75%), Avvelenato (100%)","S","3","0,5","N/A","Subdolo pugnale nato nei boschi elfici maledetti e intriso di veleno permanente e rabbioso che sgorga nel sangue al minimo e leggero tocco."
"Pugnale di Diaspro Sanguigno","Magia Oscura / Goezia","P/T","0","2d6","5","1","N/A","Sanguinamento (25%)","P","1","0,5","N/A","Lunga lama d'acciaio ondulata con antiche rune oscure, dal pomolo adornato da un diaspro sanguigno, indispensabile ai folli cultisti ed evocatori di entità goetiche."
"Bastone del Vincolo","Magia Oscura / Goezia","C","0","2d6","5","2","N/A","Focus (3), Focus Superiore, Portata","N/A","1","2","N/A","Bastone di nocciolo trattato con vari fluidi animali e un diaspro sanguigno scolpito; un inquietante Focus creato solo per richiamare dal buio demoni e spiriti mortali."
"Vero Bastone del Vincolo","Magia Oscura / Goezia","C","0","2d6","5","2","N/A","Focus (3), Focus Superiore, Portata","N/A","1","2","N/A","Versione definitiva e completa da evocatore: ornata da puntali di ottone, strati enormi di acciaio meteoritico puro, rune vincolanti e purificato con letale optima mater."
