--- Report Estrazione PDF: the-witcher-tomo-del-caos.pdf ---
Data: 2026-04-16 09:33:54

--- Dettagli Immagini ---
Pag001_L1_SenzaSezione_01.png | Nome PDF: R226 | Dim: 1261x1656px | CS: DeviceRGB
Pag042_L42_Il Grande Sole_01.png | Nome PDF: R1084 | Dim: 289x289px | CS: DeviceGray
Pag042_L42_Il Grande Sole_02.png | Nome PDF: R1085 | Dim: 289x289px | CS: DeviceRGB
Pag043_L43_Kreve_01.png | Nome PDF: R1097 | Dim: 138x299px | CS: DeviceGray
Pag043_L43_Kreve_02.png | Nome PDF: R1098 | Dim: 138x299px | CS: DeviceRGB
Pag044_L44_Melitele_01.png | Nome PDF: R1110 | Dim: 269x269px | CS: DeviceGray
Pag044_L44_Melitele_02.png | Nome PDF: R1111 | Dim: 269x269px | CS: DeviceRGB
Pag045_L45_Epona_01.png | Nome PDF: R1123 | Dim: 317x317px | CS: DeviceGray
Pag045_L45_Epona_02.png | Nome PDF: R1124 | Dim: 317x317px | CS: DeviceRGB
Pag045_L45_Epona_03.png | Nome PDF: R1125 | Dim: 332x326px | CS: DeviceGray
Pag045_L45_Epona_04.png | Nome PDF: R1126 | Dim: 332x326px | CS: DeviceRGB
Pag046_L46_Morrigan_01.png | Nome PDF: R1138 | Dim: 274x274px | CS: DeviceGray
Pag046_L46_Morrigan_02.png | Nome PDF: R1139 | Dim: 274x274px | CS: DeviceRGB
Pag046_L46_Morrigan_03.png | Nome PDF: R1140 | Dim: 345x305px | CS: DeviceGray
Pag046_L46_Morrigan_04.png | Nome PDF: R1141 | Dim: 345x305px | CS: DeviceRGB
Pag047_L47_Profeta Lebioda_01.png | Nome PDF: R1153 | Dim: 282x282px | CS: DeviceGray
Pag047_L47_Profeta Lebioda_02.png | Nome PDF: R1154 | Dim: 282x282px | CS: DeviceRGB
Pag047_L47_Profeta Lebioda_03.png | Nome PDF: R1155 | Dim: 315x265px | CS: DeviceGray
Pag047_L47_Profeta Lebioda_04.png | Nome PDF: R1156 | Dim: 315x265px | CS: DeviceRGB
Pag048_L48_Veyopatis_01.png | Nome PDF: R1168 | Dim: 315x265px | CS: DeviceGray
Pag048_L48_Veyopatis_02.png | Nome PDF: R1169 | Dim: 315x265px | CS: DeviceRGB
Pag048_L48_Veyopatis_03.png | Nome PDF: R1170 | Dim: 260x245px | CS: DeviceGray
Pag048_L48_Veyopatis_04.png | Nome PDF: R1171 | Dim: 260x245px | CS: DeviceRGB
Pag049_L49_La Professione del Prete_01.png | Nome PDF: R1183 | Dim: 391x615px | CS: DeviceRGB
Pag049_L49_La Professione del Prete_02.png | Nome PDF: R1195 | Dim: 1227x562px | CS: DeviceRGB
Pag049_L49_La Professione del Prete_03.png | Nome PDF: R1201 | Dim: 130x387px | CS: DeviceRGB
Pag049_L49_La Professione del Prete_04.png | Nome PDF: R1204 | Dim: 305x387px | CS: DeviceRGB
Pag049_L49_La Professione del Prete_05.png | Nome PDF: R1212 | Dim: 63x253px | CS: DeviceRGB
Pag049_L49_La Professione del Prete_06.png | Nome PDF: R1217 | Dim: 107x253px | CS: DeviceRGB
Pag049_L49_La Professione del Prete_07.png | Nome PDF: R1220 | Dim: 301x253px | CS: DeviceRGB
Pag049_L49_La Professione del Prete_08.png | Nome PDF: R1223 | Dim: 324x253px | CS: DeviceRGB
Pag050_L50_La Professione del Prete_01.png | Nome PDF: R1247 | Dim: 1229x503px | CS: DeviceRGB
Pag050_L50_La Professione del Prete_02.png | Nome PDF: R1252 | Dim: 150x223px | CS: DeviceRGB
Pag050_L50_La Professione del Prete_03.png | Nome PDF: R1255 | Dim: 325x223px | CS: DeviceRGB
Pag051_L51_La Professione del Prete_01.png | Nome PDF: R1279 | Dim: 1230x503px | CS: DeviceRGB
Pag051_L51_La Professione del Prete_02.png | Nome PDF: R1284 | Dim: 345x524px | CS: DeviceRGB
Pag051_L51_La Professione del Prete_03.png | Nome PDF: R1287 | Dim: 193x524px | CS: DeviceRGB
Pag052_L52_Vino o Saggezza_01.png | Nome PDF: R1304 | Dim: 1228x1587px | CS: DeviceRGB
Pag053_L53_Vino o Saggezza_01.png | Nome PDF: R1317 | Dim: 4x1587px | CS: DeviceRGB
Pag054_L54_Vino o Saggezza_01.png | Nome PDF: R1323 | Dim: 1227x1586px | CS: DeviceRGB
Pag057_L57_Introduzione ai Druidi_01.png | Nome PDF: R1365 | Dim: 723x1364px | CS: DeviceRGB
Pag058_L58_Introduzione ai Druidi_01.png | Nome PDF: R1378 | Dim: 586x1104px | CS: DeviceRGB
Pag059_L59_Introduzione ai Druidi_01.png | Nome PDF: R1391 | Dim: 586x1056px | CS: DeviceGray
Pag059_L59_Introduzione ai Druidi_02.png | Nome PDF: R1392 | Dim: 586x1056px | CS: DeviceRGB
Pag060_L60_Introduzione ai Druidi_01.png | Nome PDF: R1405 | Dim: 820x478px | CS: DeviceGray
Pag060_L60_Introduzione ai Druidi_02.png | Nome PDF: R1410 | Dim: 442x765px | CS: DeviceGray
Pag060_L60_Introduzione ai Druidi_03.png | Nome PDF: R1411 | Dim: 442x765px | CS: DeviceRGB
Pag067_L67_La Professione del Druido_01.png | Nome PDF: R1493 | Dim: 1227x562px | CS: DeviceRGB
Pag067_L67_La Professione del Druido_02.png | Nome PDF: R1498 | Dim: 108x387px | CS: DeviceRGB
Pag067_L67_La Professione del Druido_03.png | Nome PDF: R1503 | Dim: 392x616px | CS: DeviceRGB
Pag068_L68_La Professione del Druido_01.png | Nome PDF: R1523 | Dim: 1229x503px | CS: DeviceRGB
Pag069_L69_La Professione del Druido_01.png | Nome PDF: R1545 | Dim: 1229x503px | CS: DeviceRGB
Pag069_L69_La Professione del Druido_02.png | Nome PDF: R1550 | Dim: 466x524px | CS: DeviceRGB
Pag069_L69_La Professione del Druido_03.png | Nome PDF: R1554 | Dim: 591x524px | CS: DeviceRGB
Pag069_L69_La Professione del Druido_04.png | Nome PDF: R1559 | Dim: 108x1083px | CS: DeviceRGB
Pag069_L69_La Professione del Druido_05.png | Nome PDF: R1562 | Dim: 173x1088px | CS: DeviceRGB
Pag070_L70_Forze della Natura_01.png | Nome PDF: R1579 | Dim: 1227x1586px | CS: DeviceRGB
Pag071_L71_Forze della Natura_01.png | Nome PDF: R1592 | Dim: 3x1586px | CS: DeviceRGB
Pag072_L72_Forze della Natura_01.png | Nome PDF: R1604 | Dim: 1229x1586px | CS: DeviceRGB
Pag076_L76_Esercitazione Militare_01.png | Nome PDF: R1657 | Dim: 1229x1586px | CS: DeviceRGB
Pag077_L77_Esercitazione Militare_01.png | Nome PDF: R1670 | Dim: 5x1586px | CS: DeviceRGB
Pag078_L78_Esercitazione Militare_01.png | Nome PDF: R1676 | Dim: 1230x1587px | CS: DeviceRGB
Pag080_L80_Una Collezione di Caos_01.png | Nome PDF: R1706 | Dim: 844x812px | CS: DeviceGray
Pag080_L80_Una Collezione di Caos_02.png | Nome PDF: R1711 | Dim: 816x802px | CS: DeviceGray
Pag080_L80_Una Collezione di Caos_03.png | Nome PDF: R1712 | Dim: 816x802px | CS: DeviceRGB
Pag081_L81_Incantesimi da Mago_01.png | Nome PDF: R1724 | Dim: 1227x509px | CS: DeviceRGB
Pag081_L81_Incantesimi da Mago_02.png | Nome PDF: R1726 | Dim: 653x803px | CS: DeviceRGB
Pag084_L84_Incantesimi da Mago_01.png | Nome PDF: R1773 | Dim: 285x1362px | CS: DeviceGray
Pag084_L84_Incantesimi da Mago_02.png | Nome PDF: R1774 | Dim: 285x1362px | CS: DeviceRGB
Pag086_L86_Incantesimi da Mago_01.png | Nome PDF: R1805 | Dim: 729x1363px | CS: DeviceRGB
Pag088_L88_Incantesimi da Mago_01.png | Nome PDF: R1836 | Dim: 729x1363px | CS: DeviceRGB
Pag090_L90_Incantesimi da Mago_01.png | Nome PDF: R1867 | Dim: 828x333px | CS: DeviceGray
Pag090_L90_Incantesimi da Mago_02.png | Nome PDF: R1872 | Dim: 320x780px | CS: DeviceGray
Pag090_L90_Incantesimi da Mago_03.png | Nome PDF: R1873 | Dim: 320x780px | CS: DeviceRGB
Pag091_L91_Invocazioni da Prete_01.png | Nome PDF: R1885 | Dim: 1227x749px | CS: DeviceRGB
Pag091_L91_Invocazioni da Prete_02.png | Nome PDF: R1890 | Dim: 175x387px | CS: DeviceRGB
Pag091_L91_Invocazioni da Prete_03.png | Nome PDF: R1894 | Dim: 120x387px | CS: DeviceRGB
Pag091_L91_Invocazioni da Prete_04.png | Nome PDF: R1897 | Dim: 86x387px | CS: DeviceRGB
Pag091_L91_Invocazioni da Prete_05.png | Nome PDF: R1900 | Dim: 331x387px | CS: DeviceRGB
Pag092_L92_Invocazioni da Prete_01.png | Nome PDF: R1915 | Dim: 729x1272px | CS: DeviceRGB
Pag093_L93_Invocazioni da Prete_01.png | Nome PDF: R1928 | Dim: 285x1363px | CS: DeviceRGB
Pag094_L94_Invocazioni da Prete_01.png | Nome PDF: R1941 | Dim: 1073x1370px | CS: DeviceRGB
Pag095_L95_Invocazioni da Prete_01.png | Nome PDF: R1954 | Dim: 1227x675px | CS: DeviceRGB
Pag096_L96_Invocazioni da Druido_01.png | Nome PDF: R1972 | Dim: 1227x733px | CS: DeviceRGB
Pag096_L96_Invocazioni da Druido_02.png | Nome PDF: R1983 | Dim: 222x387px | CS: DeviceRGB
Pag099_L99_Invocazioni da Druido_01.png | Nome PDF: R2022 | Dim: 729x1362px | CS: DeviceRGB
Pag101_L101_Segni da Witcher Avanzati_01.png | Nome PDF: R2045 | Dim: 393x393px | CS: DeviceRGB
Pag101_L101_Segni da Witcher Avanzati_02.png | Nome PDF: R2046 | Dim: 391x391px | CS: DeviceRGB
Pag102_L102_Rituali_01.png | Nome PDF: R2058 | Dim: 1227x816px | CS: DeviceRGB
Pag102_L102_Rituali_02.png | Nome PDF: R2060 | Dim: 93x803px | CS: DeviceRGB
Pag102_L102_Rituali_03.png | Nome PDF: R2064 | Dim: 65x803px | CS: DeviceRGB
Pag105_L105_Fatture_01.png | Nome PDF: R2105 | Dim: 1227x509px | CS: DeviceRGB
Pag105_L105_Fatture_02.png | Nome PDF: R2107 | Dim: 63x803px | CS: DeviceRGB
Pag105_L105_Fatture_03.png | Nome PDF: R2112 | Dim: 63x803px | CS: DeviceRGB
Pag105_L105_Fatture_04.png | Nome PDF: R2116 | Dim: 65x803px | CS: DeviceRGB
Pag107_L107_Fatture_01.png | Nome PDF: R2143 | Dim: 1227x1586px | CS: DeviceRGB
Pag107_L107_Fatture_02.png | Nome PDF: R2144 | Dim: 524x440px | CS: DeviceGray
Pag107_L107_Fatture_03.png | Nome PDF: R2149 | Dim: 472x410px | CS: DeviceGray
Pag107_L107_Fatture_04.png | Nome PDF: R2150 | Dim: 472x410px | CS: DeviceRGB
Pag108_L108_Fatture_01.png | Nome PDF: R2157 | Dim: 1229x1586px | CS: DeviceGray
Pag108_L108_Fatture_02.png | Nome PDF: R2158 | Dim: 1229x1586px | CS: DeviceRGB
Pag110_L110_Glifi_01.png | Nome PDF: R2187 | Dim: 140x140px | CS: DeviceGray
Pag110_L110_Glifi_02.png | Nome PDF: R2188 | Dim: 140x140px | CS: DeviceRGB
Pag110_L110_Glifi_03.png | Nome PDF: R2189 | Dim: 140x140px | CS: DeviceRGB
Pag110_L110_Glifi_04.png | Nome PDF: R2190 | Dim: 140x140px | CS: DeviceRGB
Pag110_L110_Glifi_05.png | Nome PDF: R2191 | Dim: 140x140px | CS: DeviceRGB
Pag110_L110_Glifi_06.png | Nome PDF: R2193 | Dim: 292x803px | CS: DeviceRGB
Pag111_L111_Incantamenti_01.png | Nome PDF: R2208 | Dim: 571x1083px | CS: DeviceRGB
Pag112_L112_Incantamenti_01.png | Nome PDF: R2223 | Dim: 1227x891px | CS: DeviceRGB
Pag112_L112_Incantamenti_02.png | Nome PDF: R2225 | Dim: 382x1083px | CS: DeviceRGB
Pag113_L113_Incantamenti_01.png | Nome PDF: R2240 | Dim: 290x402px | CS: DeviceGray
Pag113_L113_Incantamenti_02.png | Nome PDF: R2241 | Dim: 290x402px | CS: DeviceRGB
Pag113_L113_Incantamenti_03.png | Nome PDF: R2242 | Dim: 289x402px | CS: DeviceRGB
Pag113_L113_Incantamenti_04.png | Nome PDF: R2243 | Dim: 289x402px | CS: DeviceGray
Pag113_L113_Incantamenti_05.png | Nome PDF: R2244 | Dim: 289x402px | CS: DeviceRGB
Pag113_L113_Incantamenti_06.png | Nome PDF: R2245 | Dim: 289x402px | CS: DeviceRGB
Pag113_L113_Incantamenti_07.png | Nome PDF: R2247 | Dim: 519x1083px | CS: DeviceRGB
Pag114_L114_Incantamenti_01.png | Nome PDF: R2262 | Dim: 1160x295px | CS: DeviceGray
Pag114_L114_Incantamenti_02.png | Nome PDF: R2267 | Dim: 272x1103px | CS: DeviceGray
Pag114_L114_Incantamenti_03.png | Nome PDF: R2268 | Dim: 272x1103px | CS: DeviceRGB
Pag114_L114_Incantamenti_04.png | Nome PDF: R2271 | Dim: 297x1083px | CS: DeviceRGB
Pag114_L114_Incantamenti_05.png | Nome PDF: R2274 | Dim: 89x1083px | CS: DeviceRGB
Pag115_L115_Elisir_01.png | Nome PDF: R2289 | Dim: 864x244px | CS: DeviceGray
Pag115_L115_Elisir_02.png | Nome PDF: R2294 | Dim: 208x809px | CS: DeviceGray
Pag115_L115_Elisir_03.png | Nome PDF: R2295 | Dim: 208x809px | CS: DeviceRGB
Pag115_L115_Elisir_04.png | Nome PDF: R2296 | Dim: 807x648px | CS: DeviceRGB
Pag116_L116_Elisir_01.png | Nome PDF: R2312 | Dim: 546x1083px | CS: DeviceRGB
Pag116_L116_Elisir_02.png | Nome PDF: R2315 | Dim: 279x1083px | CS: DeviceRGB
Pag116_L116_Elisir_03.png | Nome PDF: R2318 | Dim: 97x1083px | CS: DeviceRGB
Pag116_L116_Elisir_04.png | Nome PDF: R2321 | Dim: 33x33px | CS: DeviceGray
Pag116_L116_Elisir_05.png | Nome PDF: R2322 | Dim: 33x33px | CS: DeviceRGB
Pag116_L116_Elisir_06.png | Nome PDF: R2324 | Dim: 33x33px | CS: DeviceGray
Pag116_L116_Elisir_07.png | Nome PDF: R2325 | Dim: 33x33px | CS: DeviceRGB
Pag116_L116_Elisir_08.png | Nome PDF: R2327 | Dim: 33x33px | CS: DeviceGray
Pag116_L116_Elisir_09.png | Nome PDF: R2328 | Dim: 33x33px | CS: DeviceRGB
Pag116_L116_Elisir_10.png | Nome PDF: R2331 | Dim: 33x33px | CS: DeviceGray
Pag116_L116_Elisir_11.png | Nome PDF: R2332 | Dim: 33x33px | CS: DeviceRGB
Pag116_L116_Elisir_12.png | Nome PDF: R2337 | Dim: 33x33px | CS: DeviceGray
Pag116_L116_Elisir_13.png | Nome PDF: R2338 | Dim: 33x33px | CS: DeviceRGB
Pag116_L116_Elisir_14.png | Nome PDF: R2342 | Dim: 33x33px | CS: DeviceGray
Pag116_L116_Elisir_15.png | Nome PDF: R2343 | Dim: 33x33px | CS: DeviceRGB
Pag116_L116_Elisir_16.png | Nome PDF: R2345 | Dim: 33x33px | CS: DeviceGray
Pag116_L116_Elisir_17.png | Nome PDF: R2346 | Dim: 33x33px | CS: DeviceRGB
Pag116_L116_Elisir_18.png | Nome PDF: R2347 | Dim: 33x33px | CS: DeviceGray
Pag116_L116_Elisir_19.png | Nome PDF: R2348 | Dim: 33x33px | CS: DeviceRGB
Pag116_L116_Elisir_20.png | Nome PDF: R2357 | Dim: 33x33px | CS: DeviceGray
Pag116_L116_Elisir_21.png | Nome PDF: R2358 | Dim: 33x33px | CS: DeviceRGB
Pag117_L117_Oggetti Magici_01.png | Nome PDF: R2376 | Dim: 807x552px | CS: DeviceRGB
Pag121_L121_Oggetti Magici_01.png | Nome PDF: R2425 | Dim: 729x1363px | CS: DeviceRGB
Pag123_L123_Acquistare Oggetti Magici_01.png | Nome PDF: R2449 | Dim: 1124x684px | CS: DeviceGray
Pag123_L123_Acquistare Oggetti Magici_02.png | Nome PDF: R2454 | Dim: 663x1075px | CS: DeviceGray
Pag123_L123_Acquistare Oggetti Magici_03.png | Nome PDF: R2455 | Dim: 663x1075px | CS: DeviceRGB
