"Fullname","Name","Class","Type"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Codi_Bywyd_0984857645344e5c.json","Codi Bywyd","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Comando_Mentale_3575177c150740db.json","Comando Mentale","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Controllare_Acque_69c73fb2a4d44e77.json","Controllare Acque","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Cripte_del_Sapere_03ece2e114a5498b.json","Cripte del Sapere","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Derviscio_35ef0427a79d40bd.json","Derviscio","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Dissipazione_722238936d204bf7.json","Dissipazione","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Dividere_le_Acque_010dc43d08144862.json","Dividere le Acque","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Dono_della_Natura_5f94c1aaeb844e36.json","Dono della Natura","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Effetto_Specchio_4be005ca974d403e.json","Effetto Specchio","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Evoca_Bordone_111649d616ff4496.json","Evoca Bordone","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Fascino_291f29f02c5a4ac8.json","Fascino","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Fiammata_2810f6f48d3244c0.json","Fiammata","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Fiammata_Fuoco_34cdc350d5c840f4.json","Fiammata (Fuoco)","Witcher","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Fiamma_Bianca_06d2d2f879c14d0e.json","Fiamma Bianca","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Fili_della_Vita_04f8e175f8f94822.json","Fili della Vita","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Folata_di_Bronwyn_715c4de0d12141ec.json","Folata di Bronwyn","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Fortificazione_Sacra_8b218f777b894a5f.json","Fortificazione Sacra","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Fortuna_del_Padre_76393b2c41644a1a.json","Fortuna del Padre","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Fuoco_di_Maelgar_6a1fe90d48504582.json","Fuoco di Maelgar","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Fuoco_Purificatore_3d56bf4caf2545a7.json","Fuoco Purificatore","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Giudizio_Eterno_5c8f52187a804b29.json","Giudizio Eterno","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Grandinata_di_Carys_d53f0fc6bdc740c1.json","Grandinata di Carys","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Grandine_di_Merigold_646b97660ebc4703.json","Grandine di Merigold","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Guarigione_Magica_2cbb2027b41a400d.json","Guarigione Magica","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Gwynt_Troelli_3205ca2d51214201.json","Gwynt Troelli","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Igni_Fuoco_0d6f29d041714da3.json","Igni (Fuoco)","Witcher","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Illusione_c4bbce96c85045ed.json","Illusione","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Incantesimo_Diagnostico_4375d03295e24907.json","Incantesimo Diagnostico","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Infermità_Maledetta_88c5527a7c144be2.json","InfermitÃ  Maledetta","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Lampo_Magico_662f8dd782ac45df.json","Lampo Magico","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Lastra_di_Ghiaccio_408bcf5ba9eb4b89.json","Lastra di Ghiaccio","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Luce_della_Verità_953a4fc785604a92.json","Luce della VeritÃ ","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Luce_Sacra_cb1c424c00734c1c.json","Luce Sacra","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Maledizione_di_Sedna_57e3266dd0c5432c.json","Maledizione di Sedna","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Manipolazione_Mentale_ab2205cf68c1454b.json","Manipolazione Mentale","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Marchio_a_Fuoco_0ba6ff15662a4c09.json","Marchio a Fuoco","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Marionetta_Acqua_4f9c21e2f1ca4a46.json","Marionetta (Acqua)","Witcher","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Moto_di_Demetia_Crest_a774e38aee9041a9.json","Moto di Demetia Crest","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Nebbia_di_Dormyn_947d2183295f4a0f.json","Nebbia di Dormyn","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Ondate_della_Naglfar_a2261d5af20b421a.json","Ondate della Naglfar","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Penna_di_Luthien_3785bd470b1e444b.json","Penna di Luthien","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Plasmare_la_Natura_7329cc18c3734cb0.json","Plasmare la Natura","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Polimorfismo_2f5840066dfd4d3e.json","Polimorfismo","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Polvere_Accecante_3fc32242754d4748.json","Polvere Accecante","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Portale_c1e3fdfabc4c461a.json","Portale","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Portale_Divino_00d00058ee22445f.json","Portale Divino","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Prigione_di_Talfryn_c9c21208248246fb.json","Prigione di Talfryn","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Puro_Dwr_bd732e16de4644a3.json","Puro Dwr","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Quen_Terra_879a887b1c984099.json","Quen (Terra)","Witcher","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Rete_di_Menzogne_0ce0be9c5a6c453e.json","Rete di Menzogne","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Rhewi_0ca81fcd4de64234.json","Rhewi","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Rhwystr_Graig_290769e2377c4bcf.json","Rhwystr Graig","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Riparo_di_Urien_2c79fa0a085a47bf.json","Riparo di Urien","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Riposo_Guaritore_01594a1edb984bf9.json","Riposo Guaritore","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Sacca_dAria_2587b5e8257b4f8e.json","Sacca dâ€™Aria","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Saggezza_Divina_379c944b62df4e8b.json","Saggezza Divina","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Sangue_Bollente_4f1e5eaee19947fb.json","Sangue Bollente","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Scudo_Attivo_Terra_2d2006b866ec446d.json","Scudo Attivo (Terra)","Witcher","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Seirff_Haul_3adef612679c4741.json","Seirff Haul","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Sigillo_dei_Celati_0bd5b52e5d0b4306.json","Sigillo dei Celati","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Soffio_di_Korath_9021932acfa045c1.json","Soffio di Korath","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Soffocare_26c7b27bc18d4a2b.json","Soffocare","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Sorgente_Primordiale_9a06e475b3c14227.json","Sorgente Primordiale","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Spazzata_Aard_Aria_3e0388492f2041d9.json","Spazzata Aard (Aria)","Witcher","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Specchio_di_Afan_37fa01579d6a443c.json","Specchio di Afan","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Spuntone_di_Terra_0a7318b72d07420c.json","Spuntone di Terra","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Stretta_di_Cadfan_08d246528229495a.json","Stretta di Cadfan","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Tanio_Ilchar_158342031e264916.json","Tanio Ilchar","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Tecnica_di_Eilhart_b78e0c561c15484d.json","Tecnica di Eilhart","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Telecinesi_68059b976525467f.json","Telecinesi","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Telepatia_033ec505d8064820.json","Telepatia","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Teletrasporto_159ee1eec69c4961.json","Teletrasporto","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Tempesta_di_Fulmini_90697777a5c649bd.json","Tempesta di Fulmini","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Tempesta_Statica_2b695655fadb4810.json","Tempesta Statica","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Teoria_di_Elgan_bfee7ff79d9442ad.json","Teoria di Elgan","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Terremoto_di_Stammelford_4464e54ced534adb.json","Terremoto di Stammelford","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Trappola_Magica_Misto_3c3c8468231f4ed1.json","Trappola Magica (Misto)","Witcher","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Trasmutazione_67f468d5e4054225.json","Trasmutazione","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Tryferi_Gaeaf_5d3f49217af34e78.json","Tryferi Gaeaf","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Tuono_di_Alzur_07cea574175e4a2a.json","Tuono di Alzur","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Vista_della_Natura_2381446e422f4843.json","Vista della Natura","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Vortice_Fiammeggiante_08816405b9304d1e.json","Vortice Fiammeggiante","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Yrden_Misto_18f9b80f30814856.json","Yrden (Misto)","Witcher","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Zefiro_77825124528445ab.json","Zefiro","Spells","spell"
