--- Report Estrazione PDF: Witcher-v1.3.pdf ---
Data: 2026-04-16 09:36:07

--- Dettagli Immagini ---
Pag001_L1_SenzaSezione_01.png | Nome PDF: 30d661eb-d650-40ca-ae0b-607943fa877c | Dim: 753x235px | CS: DeviceGray
Pag033_L33_Eventi Passati_01.png | Nome PDF: Im0 | Dim: 756x859px | CS: DeviceRGB
Pag033_L33_Eventi Passati_02.png | Nome PDF: Im0 | Dim: 142x403px | CS: DeviceRGB
Pag033_L33_Eventi Passati_03.png | Nome PDF: Im0 | Dim: 333x403px | CS: DeviceRGB
Pag034_L34_Eventi Passati_01.png | Nome PDF: Im0 | Dim: 1278x442px | CS: DeviceRGB
Pag035_L35_Eventi Passati_01.png | Nome PDF: Im0 | Dim: 1276x390px | CS: DeviceRGB
Pag035_L35_Eventi Passati_02.png | Nome PDF: Im0 | Dim: 725x408px | CS: DeviceRGB
Pag035_L35_Eventi Passati_03.png | Nome PDF: Im0 | Dim: 154x404px | CS: DeviceRGB
Pag036_L36_Stile Personale_01.png | Nome PDF: Im0 | Dim: 247x836px | CS: DeviceRGB
Pag037_L37_La Professione_01.png | Nome PDF: Im0 | Dim: 1277x642px | CS: DeviceRGB
Pag038_L38_Armigero_01.png | Nome PDF: Im0 | Dim: 406x546px | CS: DeviceRGB
Pag038_L38_Armigero_02.png | Nome PDF: Im0 | Dim: 66x264px | CS: DeviceRGB
Pag038_L38_Armigero_03.png | Nome PDF: Im0 | Dim: 239x264px | CS: DeviceRGB
Pag038_L38_Armigero_04.png | Nome PDF: Im0 | Dim: 361x264px | CS: DeviceRGB
Pag038_L38_Armigero_05.png | Nome PDF: Im0 | Dim: 318x404px | CS: DeviceRGB
Pag039_L39_Artigiano_01.png | Nome PDF: Im0 | Dim: 406x643px | CS: DeviceRGB
Pag039_L39_Artigiano_02.png | Nome PDF: Im0 | Dim: 336x264px | CS: DeviceRGB
Pag040_L40_Bardo_01.png | Nome PDF: Im0 | Dim: 406x667px | CS: DeviceRGB
Pag040_L40_Bardo_02.png | Nome PDF: Im0 | Dim: 360x264px | CS: DeviceRGB
Pag040_L40_Bardo_03.png | Nome PDF: Im0 | Dim: 296x404px | CS: DeviceRGB
Pag040_L40_Bardo_04.png | Nome PDF: Im0 | Dim: 1278x701px | CS: DeviceRGB
Pag040_L40_Bardo_05.png | Nome PDF: Im0 | Dim: 3x701px | CS: DeviceGray
Pag041_L41_Criminale_01.png | Nome PDF: Im0 | Dim: 491x702px | CS: DeviceRGB
Pag041_L41_Criminale_02.png | Nome PDF: Im0 | Dim: 1278x701px | CS: DeviceRGB
Pag042_L42_Mago_01.png | Nome PDF: Im0 | Dim: 407x709px | CS: DeviceRGB
Pag042_L42_Mago_02.png | Nome PDF: Im0 | Dim: 109x264px | CS: DeviceRGB
Pag042_L42_Mago_03.png | Nome PDF: Im0 | Dim: 360x264px | CS: DeviceRGB
Pag042_L42_Mago_04.png | Nome PDF: Im0 | Dim: 1277x700px | CS: DeviceRGB
Pag043_L43_Medico_01.png | Nome PDF: Im0 | Dim: 406x641px | CS: DeviceRGB
Pag043_L43_Medico_02.png | Nome PDF: Im0 | Dim: 361x264px | CS: DeviceRGB
Pag043_L43_Medico_03.png | Nome PDF: Im0 | Dim: 1277x701px | CS: DeviceRGB
Pag044_L44_Mercante_01.png | Nome PDF: Im0 | Dim: 406x677px | CS: DeviceRGB
Pag044_L44_Mercante_02.png | Nome PDF: Im0 | Dim: 111x264px | CS: DeviceRGB
Pag044_L44_Mercante_03.png | Nome PDF: Im0 | Dim: 238x264px | CS: DeviceRGB
Pag044_L44_Mercante_04.png | Nome PDF: Im0 | Dim: 1278x700px | CS: DeviceRGB
Pag044_L44_Mercante_05.png | Nome PDF: Im0 | Dim: 3x701px | CS: DeviceRGB
Pag045_L45_Prete_01.png | Nome PDF: Im0 | Dim: 406x686px | CS: DeviceRGB
Pag045_L45_Prete_02.png | Nome PDF: Im0 | Dim: 360x264px | CS: DeviceRGB
Pag045_L45_Prete_03.png | Nome PDF: Im0 | Dim: 111x264px | CS: DeviceRGB
Pag045_L45_Prete_04.png | Nome PDF: Im0 | Dim: 1277x701px | CS: DeviceRGB
Pag046_L46_Witcher_01.png | Nome PDF: Im0 | Dim: 406x722px | CS: DeviceRGB
Pag046_L46_Witcher_02.png | Nome PDF: Im0 | Dim: 215x264px | CS: DeviceRGB
Pag046_L46_Witcher_03.png | Nome PDF: Im0 | Dim: 210x264px | CS: DeviceRGB
Pag046_L46_Witcher_04.png | Nome PDF: Im0 | Dim: 1277x701px | CS: DeviceRGB
Pag047_L47_Le Statistiche_01.png | Nome PDF: Im0 | Dim: 156x233px | CS: DeviceRGB
Pag047_L47_Le Statistiche_02.png | Nome PDF: Im0 | Dim: 270x233px | CS: DeviceRGB
Pag048_L48_Le Statistiche_01.png | Nome PDF: Im0 | Dim: 1278x553px | CS: DeviceRGB
Pag048_L48_Le Statistiche_02.png | Nome PDF: Im0 | Dim: 246x404px | CS: DeviceRGB
Pag048_L48_Le Statistiche_03.png | Nome PDF: Im0 | Dim: 416x404px | CS: DeviceRGB
Pag048_L48_Le Statistiche_04.png | Nome PDF: Im0 | Dim: 270x233px | CS: DeviceRGB
Pag049_L49_Le Abilità_01.png | Nome PDF: Im0 | Dim: 269x233px | CS: DeviceRGB
Pag050_L50_Le Abilità_01.png | Nome PDF: Im0 | Dim: 1278x700px | CS: DeviceRGB
Pag056_L56_Le Abilità_01.png | Nome PDF: Im0 | Dim: 758x1168px | CS: DeviceRGB
Pag057_L57_Risoluzioni di Abilità_01.png | Nome PDF: Im0 | Dim: 326x1235px | CS: DeviceRGB
Pag058_L58_Risoluzioni di Abilità_01.png | Nome PDF: Im0 | Dim: 757x894px | CS: DeviceGray
Pag058_L58_Risoluzioni di Abilità_02.png | Nome PDF: Im0 | Dim: 246x404px | CS: DeviceRGB
Pag058_L58_Risoluzioni di Abilità_03.png | Nome PDF: Im0 | Dim: 155x404px | CS: DeviceRGB
Pag058_L58_Risoluzioni di Abilità_04.png | Nome PDF: Im0 | Dim: 370x404px | CS: DeviceRGB
Pag059_L59_Salire di Livello_01.png | Nome PDF: Im0 | Dim: 614x233px | CS: DeviceRGB
Pag060_L60_Reputazione_01.png | Nome PDF: Im0 | Dim: 338x835px | CS: DeviceRGB
Pag061_L61_Alberi di Abilità_01.png | Nome PDF: Im0 | Dim: 1278x700px | CS: DeviceRGB
Pag062_L62_Albero di Abilità Dell’Armigero_01.png | Nome PDF: Im0 | Dim: 195x233px | CS: DeviceRGB
Pag062_L62_Albero di Abilità Dell’Armigero_02.png | Nome PDF: Im0 | Dim: 857x237px | CS: DeviceRGB
Pag062_L62_Albero di Abilità Dell’Armigero_03.png | Nome PDF: Im0 | Dim: 3x701px | CS: DeviceRGB
Pag062_L62_Albero di Abilità Dell’Armigero_04.png | Nome PDF: Im0 | Dim: 1280x698px | CS: DeviceRGB
Pag063_L63_Albero di Abilità Dell’Artigiano_01.png | Nome PDF: Im0 | Dim: 1278x701px | CS: DeviceRGB
Pag063_L63_Albero di Abilità Dell’Artigiano_02.png | Nome PDF: Im0 | Dim: 485x233px | CS: DeviceRGB
Pag064_L64_Albero di Abilità Del Bardo_01.png | Nome PDF: Im0 | Dim: 485x234px | CS: DeviceRGB
Pag064_L64_Albero di Abilità Del Bardo_02.png | Nome PDF: Im0 | Dim: 156x234px | CS: DeviceRGB
Pag065_L65_Albero di Abilità Del Criminale_01.png | Nome PDF: Im0 | Dim: 309x234px | CS: DeviceRGB
Pag065_L65_Albero di Abilità Del Criminale_02.png | Nome PDF: Im0 | Dim: 156x234px | CS: DeviceRGB
Pag065_L65_Albero di Abilità Del Criminale_03.png | Nome PDF: Im0 | Dim: 650x233px | CS: DeviceRGB
Pag066_L66_Albero di Abilità Del Mago_01.png | Nome PDF: Im0 | Dim: 686x234px | CS: DeviceRGB
Pag067_L67_Albero di Abilità Del Medico_01.png | Nome PDF: Im0 | Dim: 1080x237px | CS: DeviceRGB
Pag068_L68_Albero di Abilità Del Mercante_01.png | Nome PDF: Im0 | Dim: 156x233px | CS: DeviceRGB
Pag068_L68_Albero di Abilità Del Mercante_02.png | Nome PDF: Im0 | Dim: 560x233px | CS: DeviceRGB
Pag069_L69_Albero di Abilità Del Prete_01.png | Nome PDF: Im0 | Dim: 337x233px | CS: DeviceRGB
Pag069_L69_Albero di Abilità Del Prete_02.png | Nome PDF: Im0 | Dim: 446x233px | CS: DeviceRGB
Pag070_L70_Albero di Abilità Del Witcher_01.png | Nome PDF: Im0 | Dim: 1277x701px | CS: DeviceRGB
Pag070_L70_Albero di Abilità Del Witcher_02.png | Nome PDF: Im0 | Dim: 1167x232px | CS: DeviceRGB
Pag071_L71_Equipaggiamento_01.png | Nome PDF: Im0 | Dim: 307x402px | CS: DeviceRGB
Pag071_L71_Equipaggiamento_02.png | Nome PDF: Im0 | Dim: 388x233px | CS: DeviceRGB
Pag072_L72_Armi_01.png | Nome PDF: Im0 | Dim: 1257x360px | CS: DeviceRGB
Pag073_L73_Armi_01.png | Nome PDF: Im0 | Dim: 1278x329px | CS: DeviceRGB
Pag073_L73_Armi_02.png | Nome PDF: Im0 | Dim: 1050x1129px | CS: DeviceRGB
Pag074_L74_Armi_01.png | Nome PDF: Im0 | Dim: 1279x446px | CS: DeviceRGB
Pag074_L74_Armi_02.png | Nome PDF: Im0 | Dim: 692x1129px | CS: DeviceRGB
Pag074_L74_Armi_03.png | Nome PDF: Im0 | Dim: 157x1129px | CS: DeviceRGB
Pag075_L75_Armi_01.png | Nome PDF: Im0 | Dim: 5x446px | CS: DeviceRGB
Pag077_L77_Armi_01.png | Nome PDF: Im0 | Dim: 759x1139px | CS: DeviceRGB
Pag078_L78_Armature_01.png | Nome PDF: Im0 | Dim: 1278x647px | CS: DeviceRGB
Pag079_L79_Armature_01.png | Nome PDF: Im0 | Dim: 3x647px | CS: DeviceRGB
Pag079_L79_Armature_02.png | Nome PDF: Im0 | Dim: 400x836px | CS: DeviceRGB
Pag079_L79_Armature_03.png | Nome PDF: Im0 | Dim: 469x836px | CS: DeviceRGB
Pag080_L80_Armature_01.png | Nome PDF: Im0 | Dim: 1277x562px | CS: DeviceRGB
Pag080_L80_Armature_02.png | Nome PDF: Im0 | Dim: 423x836px | CS: DeviceRGB
Pag080_L80_Armature_03.png | Nome PDF: Im0 | Dim: 370x836px | CS: DeviceRGB
Pag083_L83_Armamenti delle Razze Antiche_01.png | Nome PDF: Im0 | Dim: 1198x1130px | CS: DeviceRGB
Pag084_L84_Armamenti delle Razze Antiche_01.png | Nome PDF: Im0 | Dim: 142x838px | CS: DeviceRGB
Pag084_L84_Armamenti delle Razze Antiche_02.png | Nome PDF: Im0 | Dim: 720x836px | CS: DeviceRGB
Pag084_L84_Armamenti delle Razze Antiche_03.png | Nome PDF: Im0 | Dim: 287x836px | CS: DeviceRGB
Pag087_L87_Prodotti Alchemici_01.png | Nome PDF: Im0 | Dim: 1097x836px | CS: DeviceRGB
Pag088_L88_Prodotti Alchemici_01.png | Nome PDF: Im0 | Dim: 1018x836px | CS: DeviceRGB
Pag090_L90_Potenziamenti per Armature_01.png | Nome PDF: Im0 | Dim: 496x1098px | CS: DeviceRGB
Pag090_L90_Potenziamenti per Armature_02.png | Nome PDF: Im0 | Dim: 270x836px | CS: DeviceRGB
Pag090_L90_Potenziamenti per Armature_03.png | Nome PDF: Im0 | Dim: 156x233px | CS: DeviceRGB
Pag091_L91_Trasporti_01.png | Nome PDF: Im0 | Dim: 608x836px | CS: DeviceRGB
Pag091_L91_Trasporti_02.png | Nome PDF: Im0 | Dim: 330x836px | CS: DeviceRGB
Pag092_L92_Utensili_01.png | Nome PDF: Im0 | Dim: 925x524px | CS: DeviceRGB
Pag092_L92_Utensili_02.png | Nome PDF: Im0 | Dim: 751x836px | CS: DeviceRGB
Pag093_L93_Oggetti Vari_01.png | Nome PDF: Im0 | Dim: 277x357px | CS: DeviceRGB
Pag093_L93_Oggetti Vari_02.png | Nome PDF: Im0 | Dim: 187x357px | CS: DeviceRGB
Pag093_L93_Oggetti Vari_03.png | Nome PDF: Im0 | Dim: 309x357px | CS: DeviceRGB
Pag093_L93_Oggetti Vari_04.png | Nome PDF: Im0 | Dim: 546x357px | CS: DeviceRGB
Pag093_L93_Oggetti Vari_05.png | Nome PDF: Im0 | Dim: 369x357px | CS: DeviceRGB
Pag093_L93_Oggetti Vari_06.png | Nome PDF: Im0 | Dim: 1060x361px | CS: DeviceRGB
Pag093_L93_Oggetti Vari_07.png | Nome PDF: Im0 | Dim: 61x118px | CS: DeviceGray
Pag097_L97_Oggetti Vari_01.png | Nome PDF: Im0 | Dim: 1278x507px | CS: DeviceRGB
Pag097_L97_Oggetti Vari_02.png | Nome PDF: Im0 | Dim: 404x836px | CS: DeviceRGB
Pag098_L98_Oggetti Vari_01.png | Nome PDF: Im0 | Dim: 1278x1655px | CS: DeviceRGB
Pag099_L99_La Magia in The Witcher_01.png | Nome PDF: 035548c1-1d80-4df9-8bf4-95cb11c18989 | Dim: 131x126px | CS: DeviceGray
Pag099_L99_La Magia in The Witcher_02.png | Nome PDF: 2d8865ba-940b-4c3a-a7dc-59e54ea05aa6 | Dim: 93x93px | CS: DeviceGray
Pag099_L99_La Magia in The Witcher_03.png | Nome PDF: 35765ced-a71b-4d6d-9070-9fb93b71d894 | Dim: 93x93px | CS: DeviceGray
Pag099_L99_La Magia in The Witcher_04.png | Nome PDF: 55107f1b-235f-4908-864e-462a73c58c43 | Dim: 93x93px | CS: DeviceGray
Pag099_L99_La Magia in The Witcher_05.png | Nome PDF: 6c871675-7aac-4ad6-9eb6-f2ee801e67d5 | Dim: 93x93px | CS: DeviceGray
Pag099_L99_La Magia in The Witcher_06.png | Nome PDF: 769dad7d-e98e-40cf-af35-ed10a575e39c | Dim: 93x93px | CS: DeviceGray
Pag099_L99_La Magia in The Witcher_07.png | Nome PDF: Im0 | Dim: 131x126px | CS: DeviceRGB
Pag099_L99_La Magia in The Witcher_08.png | Nome PDF: Im1 | Dim: 93x93px | CS: DeviceRGB
Pag099_L99_La Magia in The Witcher_09.png | Nome PDF: Im2 | Dim: 93x93px | CS: DeviceRGB
Pag099_L99_La Magia in The Witcher_10.png | Nome PDF: Im3 | Dim: 93x93px | CS: DeviceRGB
Pag099_L99_La Magia in The Witcher_11.png | Nome PDF: Im4 | Dim: 93x93px | CS: DeviceRGB
Pag099_L99_La Magia in The Witcher_12.png | Nome PDF: Im5 | Dim: 93x93px | CS: DeviceRGB
Pag099_L99_La Magia in The Witcher_13.png | Nome PDF: Im6 | Dim: 93x93px | CS: DeviceRGB
Pag099_L99_La Magia in The Witcher_14.png | Nome PDF: a68c0ea2-f913-4fc2-a316-882e321a4bc4 | Dim: 93x93px | CS: DeviceGray
Pag100_L100_La Magia in The Witcher_01.png | Nome PDF: Im0 | Dim: 1278x700px | CS: DeviceRGB
Pag101_L101_Incantesimi da Mago_01.png | Nome PDF: Im0 | Dim: 754x692px | CS: DeviceRGB
Pag101_L101_Incantesimi da Mago_02.png | Nome PDF: Im0 | Dim: 635x836px | CS: DeviceRGB
Pag105_L105_Incantesimi da Mago_01.png | Nome PDF: Im0 | Dim: 756x1055px | CS: DeviceRGB
Pag106_L106_Incantesimi da Mago_01.png | Nome PDF: Im0 | Dim: 1276x324px | CS: DeviceRGB
Pag107_L107_Incantesimi da Mago_01.png | Nome PDF: Im0 | Dim: 3x324px | CS: DeviceRGB
Pag107_L107_Incantesimi da Mago_02.png | Nome PDF: Im1 | Dim: 1278x592px | CS: DeviceRGB
Pag107_L107_Incantesimi da Mago_03.png | Nome PDF: Im2 | Dim: 8x592px | CS: DeviceRGB
Pag108_L108_Incantesimi da Mago_01.png | Nome PDF: Im0 | Dim: 1277x878px | CS: DeviceRGB
Pag109_L109_Invocazioni da Prete_01.png | Nome PDF: Im0 | Dim: 758x565px | CS: DeviceRGB
Pag109_L109_Invocazioni da Prete_02.png | Nome PDF: Im0 | Dim: 216x259px | CS: DeviceRGB
Pag109_L109_Invocazioni da Prete_03.png | Nome PDF: Im0 | Dim: 330x259px | CS: DeviceRGB
Pag109_L109_Invocazioni da Prete_04.png | Nome PDF: Im0 | Dim: 126x259px | CS: DeviceRGB
Pag109_L109_Invocazioni da Prete_05.png | Nome PDF: Im0 | Dim: 96x259px | CS: DeviceRGB
Pag111_L111_Invocazioni da Prete_01.png | Nome PDF: Im0 | Dim: 1277x263px | CS: DeviceRGB
