--- Report Estrazione PDF: Witcher - Libro dei Racconti (italian).pdf ---
Data: 2026-04-16 09:34:31

--- Dettagli Immagini ---
Pag001_L1_SenzaSezione_01.png | Nome PDF: Im0 | Dim: 2828x1849px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_04.png | Nome PDF: Im11 | Dim: 209x116px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_05.png | Nome PDF: Im2 | Dim: 93x260px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_06.png | Nome PDF: Im3 | Dim: 64x260px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_07.png | Nome PDF: Im4 | Dim: 77x260px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_08.png | Nome PDF: Im5 | Dim: 180x260px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_09.png | Nome PDF: Im6 | Dim: 805x1019px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_10.png | Nome PDF: Im7 | Dim: 122x398px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_11.png | Nome PDF: Im8 | Dim: 152x997px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_12.png | Nome PDF: Im9 | Dim: 157x164px | CS: ICCBased
Pag016_L16_La Bestia del Lago Tankred_13.png | Nome PDF: Im0 | Dim: 256x64px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_14.png | Nome PDF: Im0 | Dim: 256x77px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_15.png | Nome PDF: Im0 | Dim: 176x256px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_16.png | Nome PDF: Im0 | Dim: 394x122px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_17.png | Nome PDF: Im0 | Dim: 120x238px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_18.png | Nome PDF: Im0 | Dim: 116x209px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_19.png | Nome PDF: Im0 | Dim: 256x113px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_20.png | Nome PDF: Im0 | Dim: 304x256px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_21.png | Nome PDF: Im0 | Dim: 256x92px | CS: DeviceRGB
Pag017_L17_La Bestia del Lago Tankred_01.png | Nome PDF: Im0 | Dim: 140x1088px | CS: DeviceRGB
Pag017_L17_La Bestia del Lago Tankred_02.png | Nome PDF: Im5 | Dim: 262x529px | CS: DeviceRGB
Pag017_L17_La Bestia del Lago Tankred_03.png | Nome PDF: Im6 | Dim: 205x529px | CS: DeviceRGB
Pag017_L17_La Bestia del Lago Tankred_04.png | Nome PDF: Im8 | Dim: 177x529px | CS: DeviceRGB
Pag017_L17_La Bestia del Lago Tankred_05.png | Nome PDF: Im0 | Dim: 525x176px | CS: DeviceRGB
Pag017_L17_La Bestia del Lago Tankred_06.png | Nome PDF: Im0 | Dim: 525x262px | CS: DeviceRGB
Pag017_L17_La Bestia del Lago Tankred_07.png | Nome PDF: Im0 | Dim: 525x205px | CS: DeviceRGB
Pag017_L17_La Bestia del Lago Tankred_08.png | Nome PDF: Im0 | Dim: 1083x139px | CS: DeviceRGB
Pag018_L18_PNG_01.png | Nome PDF: Im3 | Dim: 292x343px | CS: DeviceRGB
Pag018_L18_PNG_02.png | Nome PDF: Im4 | Dim: 77x714px | CS: DeviceRGB
Pag018_L18_PNG_03.png | Nome PDF: Im6 | Dim: 113x343px | CS: DeviceRGB
Pag018_L18_PNG_04.png | Nome PDF: Im8 | Dim: 292x342px | CS: DeviceRGB
Pag018_L18_PNG_05.png | Nome PDF: Im0 | Dim: 343x287px | CS: DeviceRGB
Pag018_L18_PNG_06.png | Nome PDF: Im0 | Dim: 711x77px | CS: DeviceRGB
Pag018_L18_PNG_07.png | Nome PDF: Im0 | Dim: 339x113px | CS: DeviceRGB
Pag018_L18_PNG_08.png | Nome PDF: Im0 | Dim: 291x338px | CS: DeviceRGB
Pag019_L19_PNG_01.png | Nome PDF: Im0 | Dim: 77x714px | CS: DeviceRGB
Pag019_L19_PNG_02.png | Nome PDF: Im0 | Dim: 710x77px | CS: DeviceRGB
Pag020_L20_Mappe_01.png | Nome PDF: Im0 | Dim: 808x1320px | CS: DeviceRGB
Pag021_L21_Mappe_01.png | Nome PDF: Im0 | Dim: 901x720px | CS: DeviceRGB
Pag022_L22_Mappe_01.png | Nome PDF: Im0 | Dim: 905x720px | CS: DeviceRGB
Pag023_L23_Mappe_01.png | Nome PDF: Im0 | Dim: 905x720px | CS: DeviceRGB
Pag024_L24_Mappe_01.png | Nome PDF: Im0 | Dim: 1230x1586px | CS: ICCBased
Pag024_L24_Mappe_02.png | Nome PDF: Im1 | Dim: 1587x1223px | CS: ICCBased
Pag025_L25_Nell’Alderwood_01.png | Nome PDF: Im0 | Dim: 1227x654px | CS: DeviceRGB
Pag026_L26_Nell’Alderwood_01.png | Nome PDF: Im0 | Dim: 525x517px | CS: DeviceRGB
Pag027_L27_Nell’Alderwood_01.png | Nome PDF: Im0 | Dim: 131x224px | CS: DeviceRGB
Pag028_L28_Nell’Alderwood_01.png | Nome PDF: Im0 | Dim: 391x548px | CS: DeviceRGB
Pag028_L28_Nell’Alderwood_02.png | Nome PDF: Im0 | Dim: 410x224px | CS: DeviceRGB
Pag033_L33_Nell’Alderwood_01.png | Nome PDF: Im0 | Dim: 107x391px | CS: DeviceRGB
Pag033_L33_Nell’Alderwood_02.png | Nome PDF: Im0 | Dim: 387x107px | CS: DeviceRGB
Pag034_L34_Silvano_01.png | Nome PDF: Im0 | Dim: 803x1019px | CS: DeviceRGB
Pag034_L34_Silvano_02.png | Nome PDF: Im2 | Dim: 165x165px | CS: ICCBased
Pag034_L34_Silvano_03.png | Nome PDF: Im3 | Dim: 221x260px | CS: DeviceRGB
Pag034_L34_Silvano_04.png | Nome PDF: Im4 | Dim: 381x260px | CS: DeviceRGB
Pag034_L34_Silvano_05.png | Nome PDF: Im8 | Dim: 203x260px | CS: DeviceRGB
Pag034_L34_Silvano_06.png | Nome PDF: Im9 | Dim: 144x398px | CS: DeviceRGB
Pag034_L34_Silvano_07.png | Nome PDF: Im0 | Dim: 202x256px | CS: DeviceRGB
Pag034_L34_Silvano_08.png | Nome PDF: Im0 | Dim: 395x143px | CS: DeviceRGB
Pag034_L34_Silvano_09.png | Nome PDF: Im0 | Dim: 218x256px | CS: DeviceRGB
Pag034_L34_Silvano_10.png | Nome PDF: Im0 | Dim: 352x256px | CS: DeviceRGB
Pag035_L35_Silvano_01.png | Nome PDF: Im0 | Dim: 102x1088px | CS: DeviceRGB
Pag035_L35_Silvano_02.png | Nome PDF: Im0 | Dim: 525x204px | CS: DeviceRGB
Pag035_L35_Silvano_03.png | Nome PDF: Im0 | Dim: 1083x101px | CS: DeviceRGB
Pag036_L36_Pardus di Korath_01.png | Nome PDF: Im0 | Dim: 802x1019px | CS: DeviceRGB
Pag036_L36_Pardus di Korath_02.png | Nome PDF: Im11 | Dim: 238x116px | CS: DeviceRGB
Pag036_L36_Pardus di Korath_03.png | Nome PDF: Im2 | Dim: 165x165px | CS: DeviceRGB
Pag036_L36_Pardus di Korath_04.png | Nome PDF: Im3 | Dim: 503x260px | CS: DeviceRGB
Pag036_L36_Pardus di Korath_05.png | Nome PDF: Im7 | Dim: 149x260px | CS: DeviceRGB
Pag036_L36_Pardus di Korath_06.png | Nome PDF: Im0 | Dim: 256x148px | CS: DeviceRGB
Pag036_L36_Pardus di Korath_07.png | Nome PDF: Im0 | Dim: 193x256px | CS: DeviceRGB
Pag036_L36_Pardus di Korath_08.png | Nome PDF: Im0 | Dim: 116x238px | CS: DeviceRGB
Pag036_L36_Pardus di Korath_09.png | Nome PDF: Im0 | Dim: 474x256px | CS: DeviceRGB
Pag037_L37_Pardus di Korath_01.png | Nome PDF: Im0 | Dim: 202x1088px | CS: DeviceRGB
Pag037_L37_Pardus di Korath_02.png | Nome PDF: Im2 | Dim: 304x529px | CS: DeviceRGB
Pag037_L37_Pardus di Korath_03.png | Nome PDF: Im0 | Dim: 1083x161px | CS: DeviceRGB
Pag037_L37_Pardus di Korath_04.png | Nome PDF: Im0 | Dim: 525x304px | CS: DeviceRGB
Pag038_L38_PNG_01.png | Nome PDF: Im0 | Dim: 158x193px | CS: DeviceRGB
Pag038_L38_PNG_02.png | Nome PDF: Im1 | Dim: 158x193px | CS: DeviceRGB
Pag038_L38_PNG_03.png | Nome PDF: Im2 | Dim: 158x194px | CS: DeviceRGB
Pag039_L39_PNG_01.png | Nome PDF: Im0 | Dim: 158x194px | CS: DeviceRGB
Pag039_L39_PNG_02.png | Nome PDF: Im1 | Dim: 158x193px | CS: DeviceRGB
Pag039_L39_PNG_03.png | Nome PDF: Im2 | Dim: 158x194px | CS: DeviceRGB
Pag039_L39_PNG_04.png | Nome PDF: Im3 | Dim: 1083x594px | CS: DeviceRGB
Pag040_L40_Mappe_01.png | Nome PDF: Im0 | Dim: 1080x862px | CS: DeviceRGB
Pag041_L41_Mappe_01.png | Nome PDF: Im0 | Dim: 1079x862px | CS: DeviceRGB
Pag042_L42_Mappe_01.png | Nome PDF: Im0 | Dim: 1082x860px | CS: DeviceRGB
Pag043_L43_Mappe_01.png | Nome PDF: Im0 | Dim: 902x720px | CS: DeviceRGB
Pag044_L44_Mappe_01.png | Nome PDF: Im0 | Dim: 902x720px | CS: DeviceRGB
Pag045_L45_Mappe_01.png | Nome PDF: Im0 | Dim: 901x720px | CS: DeviceRGB
Pag046_L46_Mappe_01.png | Nome PDF: Im0 | Dim: 902x720px | CS: DeviceRGB
Pag047_L47_Mappe_01.png | Nome PDF: Im0 | Dim: 764x1210px | CS: DeviceRGB
Pag048_L48_Mappe_01.png | Nome PDF: Im0 | Dim: 752x1155px | CS: DeviceRGB
Pag049_L49_Fredde Menzogne_01.png | Nome PDF: Im0 | Dim: 1227x773px | CS: DeviceRGB
Pag051_L51_Fredde Menzogne_01.png | Nome PDF: Im0 | Dim: 1227x579px | CS: DeviceRGB
Pag053_L53_Fredde Menzogne_01.png | Nome PDF: Im0 | Dim: 97x1088px | CS: DeviceRGB
Pag053_L53_Fredde Menzogne_02.png | Nome PDF: Im1 | Dim: 1227x700px | CS: DeviceRGB
Pag053_L53_Fredde Menzogne_03.png | Nome PDF: Im0 | Dim: 1083x97px | CS: DeviceRGB
Pag054_L54_Fredde Menzogne_01.png | Nome PDF: Im0 | Dim: 391x528px | CS: DeviceRGB
Pag054_L54_Fredde Menzogne_02.png | Nome PDF: Im1 | Dim: 391x528px | CS: DeviceRGB
Pag056_L56_Fredde Menzogne_01.png | Nome PDF: Im0 | Dim: 803x584px | CS: DeviceRGB
Pag062_L62_Fredde Menzogne_01.png | Nome PDF: Im0 | Dim: 529x904px | CS: DeviceRGB
Pag063_L63_Fredde Menzogne_01.png | Nome PDF: Im0 | Dim: 1227x1586px | CS: DeviceRGB
Pag064_L64_PNG_01.png | Nome PDF: Im3 | Dim: 620x790px | CS: DeviceRGB
Pag064_L64_PNG_02.png | Nome PDF: Im4 | Dim: 358x260px | CS: DeviceRGB
Pag064_L64_PNG_03.png | Nome PDF: Im7 | Dim: 208x116px | CS: DeviceRGB
Pag064_L64_PNG_04.png | Nome PDF: Im0 | Dim: 357x256px | CS: DeviceRGB
Pag064_L64_PNG_05.png | Nome PDF: Im0 | Dim: 237x116px | CS: DeviceRGB
Pag064_L64_PNG_06.png | Nome PDF: Im0 | Dim: 207x112px | CS: DeviceRGB
Pag064_L64_PNG_07.png | Nome PDF: Im0 | Dim: 64x256px | CS: DeviceRGB
Pag064_L64_PNG_08.png | Nome PDF: Im0 | Dim: 180x256px | CS: DeviceRGB
Pag065_L65_PNG_01.png | Nome PDF: Im2 | Dim: 329x260px | CS: DeviceRGB
Pag065_L65_PNG_02.png | Nome PDF: Im5 | Dim: 595x334px | CS: DeviceRGB
Pag065_L65_PNG_03.png | Nome PDF: Im9 | Dim: 151x1086px | CS: DeviceRGB
Pag065_L65_PNG_04.png | Nome PDF: Im0 | Dim: 112x209px | CS: DeviceRGB
Pag065_L65_PNG_05.png | Nome PDF: Im0 | Dim: 115x238px | CS: DeviceRGB
Pag065_L65_PNG_06.png | Nome PDF: Im0 | Dim: 1083x151px | CS: DeviceRGB
Pag065_L65_PNG_07.png | Nome PDF: Im0 | Dim: 161x256px | CS: DeviceRGB
Pag065_L65_PNG_08.png | Nome PDF: Im0 | Dim: 328x257px | CS: DeviceRGB
Pag066_L66_PNG_01.png | Nome PDF: Im0 | Dim: 525x680px | CS: DeviceRGB
Pag066_L66_PNG_02.png | Nome PDF: Im1 | Dim: 526x685px | CS: DeviceRGB
Pag067_L67_Mappe_01.png | Nome PDF: Im0 | Dim: 904x720px | CS: DeviceRGB
Pag068_L68_Mappe_01.png | Nome PDF: Im0 | Dim: 909x488px | CS: DeviceRGB
Pag069_L69_Mappe_01.png | Nome PDF: Im0 | Dim: 904x545px | CS: DeviceRGB
Pag070_L70_Mappe_01.png | Nome PDF: Im0 | Dim: 880x1315px | CS: DeviceRGB
Pag071_L71_Omicidio a Maribor_01.png | Nome PDF: Im0 | Dim: 1227x773px | CS: DeviceRGB
Pag074_L74_Omicidio a Maribor_01.png | Nome PDF: Im0 | Dim: 256x1086px | CS: DeviceRGB
Pag074_L74_Omicidio a Maribor_02.png | Nome PDF: Im1 | Dim: 1229x817px | CS: DeviceRGB
Pag074_L74_Omicidio a Maribor_03.png | Nome PDF: Im0 | Dim: 1083x256px | CS: DeviceRGB
Pag075_L75_Omicidio a Maribor_01.png | Nome PDF: Im0 | Dim: 112x228px | CS: DeviceRGB
Pag075_L75_Omicidio a Maribor_02.png | Nome PDF: Im0 | Dim: 223x111px | CS: DeviceRGB
Pag076_L76_Omicidio a Maribor_01.png | Nome PDF: Im0 | Dim: 316x391px | CS: DeviceRGB
Pag076_L76_Omicidio a Maribor_02.png | Nome PDF: Im1 | Dim: 1229x794px | CS: DeviceRGB
Pag076_L76_Omicidio a Maribor_03.png | Nome PDF: Im0 | Dim: 315x387px | CS: DeviceRGB
Pag077_L77_Omicidio a Maribor_01.png | Nome PDF: Im0 | Dim: 415x391px | CS: DeviceRGB
Pag077_L77_Omicidio a Maribor_02.png | Nome PDF: Im1 | Dim: 5x794px | CS: DeviceRGB
Pag077_L77_Omicidio a Maribor_03.png | Nome PDF: Im2 | Dim: 727x892px | CS: DeviceRGB
Pag077_L77_Omicidio a Maribor_04.png | Nome PDF: Im0 | Dim: 415x386px | CS: DeviceRGB
Pag078_L78_Omicidio a Maribor_01.png | Nome PDF: Im0 | Dim: 567x692px | CS: DeviceRGB
Pag078_L78_Omicidio a Maribor_02.png | Nome PDF: Im1 | Dim: 566x634px | CS: DeviceRGB
Pag079_L79_Omicidio a Maribor_01.png | Nome PDF: Im0 | Dim: 1229x817px | CS: DeviceRGB
Pag080_L80_Omicidio a Maribor_01.png | Nome PDF: Im0 | Dim: 1227x771px | CS: DeviceRGB
Pag081_L81_Omicidio a Maribor_01.png | Nome PDF: Im0 | Dim: 529x745px | CS: DeviceRGB
Pag082_L82_Omicidio a Maribor_01.png | Nome PDF: Im0 | Dim: 1227x771px | CS: DeviceRGB
Pag083_L83_PNG_01.png | Nome PDF: Im1 | Dim: 237x116px | CS: DeviceRGB
Pag083_L83_PNG_02.png | Nome PDF: Im4 | Dim: 445x260px | CS: DeviceRGB
Pag083_L83_PNG_03.png | Nome PDF: Im7 | Dim: 122x398px | CS: DeviceRGB
Pag083_L83_PNG_04.png | Nome PDF: Im8 | Dim: 207x260px | CS: DeviceRGB
Pag083_L83_PNG_05.png | Nome PDF: Im0 | Dim: 445x256px | CS: DeviceRGB
Pag083_L83_PNG_06.png | Nome PDF: Im0 | Dim: 202x256px | CS: DeviceRGB
Pag083_L83_PNG_07.png | Nome PDF: Im0 | Dim: 395x122px | CS: DeviceRGB
Pag083_L83_PNG_08.png | Nome PDF: Im0 | Dim: 206x256px | CS: DeviceRGB
Pag083_L83_PNG_09.png | Nome PDF: Im0 | Dim: 237x112px | CS: DeviceRGB
Pag083_L83_PNG_10.png | Nome PDF: Im0 | Dim: 238x116px | CS: DeviceRGB
Pag084_L84_PNG_01.png | Nome PDF: Im0 | Dim: 93x1086px | CS: DeviceRGB
Pag084_L84_PNG_02.png | Nome PDF: Im13 | Dim: 112x260px | CS: DeviceRGB
Pag084_L84_PNG_03.png | Nome PDF: Im0 | Dim: 237x112px | CS: DeviceRGB
Pag084_L84_PNG_04.png | Nome PDF: Im0 | Dim: 238x116px | CS: DeviceRGB
Pag084_L84_PNG_05.png | Nome PDF: Im0 | Dim: 358x256px | CS: DeviceRGB
Pag084_L84_PNG_06.png | Nome PDF: Im0 | Dim: 256x112px | CS: DeviceRGB
Pag084_L84_PNG_07.png | Nome PDF: Im0 | Dim: 1083x93px | CS: DeviceRGB
Pag085_L85_PNG_01.png | Nome PDF: Im11 | Dim: 185x260px | CS: DeviceRGB
Pag085_L85_PNG_02.png | Nome PDF: Im7 | Dim: 416x260px | CS: DeviceRGB
Pag085_L85_PNG_03.png | Nome PDF: Im0 | Dim: 237x112px | CS: DeviceRGB
Pag085_L85_PNG_04.png | Nome PDF: Im0 | Dim: 238x116px | CS: DeviceRGB
Pag085_L85_PNG_05.png | Nome PDF: Im0 | Dim: 416x256px | CS: DeviceRGB
Pag085_L85_PNG_06.png | Nome PDF: Im0 | Dim: 180x256px | CS: DeviceRGB
Pag085_L85_PNG_07.png | Nome PDF: Im0 | Dim: 184x256px | CS: DeviceRGB
Pag086_L86_PNG_01.png | Nome PDF: Im0 | Dim: 612x1113px | CS: DeviceRGB
Pag086_L86_PNG_02.png | Nome PDF: Im1 | Dim: 113x1086px | CS: DeviceRGB
Pag086_L86_PNG_03.png | Nome PDF: Im2 | Dim: 119x529px | CS: DeviceRGB
Pag086_L86_PNG_04.png | Nome PDF: Im0 | Dim: 1083x113px | CS: DeviceRGB
Pag086_L86_PNG_05.png | Nome PDF: Im0 | Dim: 525x119px | CS: DeviceRGB
Pag087_L87_Mappe_01.png | Nome PDF: Im0 | Dim: 929x1317px | CS: DeviceRGB
Pag088_L88_Mappe_01.png | Nome PDF: Im0 | Dim: 904x720px | CS: DeviceRGB
Pag089_L89_Mappe_01.png | Nome PDF: Im0 | Dim: 896x715px | CS: DeviceRGB
Pag090_L90_Mappe_01.png | Nome PDF: Im0 | Dim: 933x715px | CS: DeviceRGB
Pag091_L91_Mappe_01.png | Nome PDF: Im0 | Dim: 765x1273px | CS: DeviceRGB
Pag092_L92_Mappe_01.png | Nome PDF: Im0 | Dim: 764x661px | CS: DeviceRGB
Pag092_L92_Mappe_02.png | Nome PDF: Im1 | Dim: 762x539px | CS: DeviceRGB
Pag093_L93_Mappe_01.png | Nome PDF: Im0 | Dim: 906x720px | CS: DeviceRGB
Pag094_L94_Mappe_01.png | Nome PDF: Im0 | Dim: 710x1194px | CS: DeviceRGB
Pag095_L95_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 1227x744px | CS: DeviceRGB
Pag097_L97_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 166x387px | CS: DeviceRGB
Pag098_L98_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 487x347px | CS: DeviceRGB
Pag098_L98_Nell’Arena_02.png | Nome PDF: Im0 | Dim: 388x643px | CS: DeviceRGB
Pag098_L98_Nell’Arena_03.png | Nome PDF: Im0 | Dim: 487x343px | CS: DeviceRGB
Pag099_L99_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 807x608px | CS: DeviceRGB
Pag100_L100_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 410x391px | CS: DeviceRGB
Pag100_L100_Nell’Arena_02.png | Nome PDF: Im0 | Dim: 412x387px | CS: DeviceRGB
Pag100_L100_Nell’Arena_03.png | Nome PDF: Im0 | Dim: 609x391px | CS: DeviceRGB
Pag101_L101_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 807x642px | CS: DeviceRGB
Pag102_L102_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 803x377px | CS: DeviceRGB
Pag102_L102_Nell’Arena_02.png | Nome PDF: Im0 | Dim: 317x803px | CS: DeviceRGB
Pag103_L103_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 510x804px | CS: DeviceRGB
Pag103_L103_Nell’Arena_02.png | Nome PDF: Im0 | Dim: 802x512px | CS: DeviceRGB
Pag104_L104_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 509x365px | CS: DeviceRGB
Pag104_L104_Nell’Arena_02.png | Nome PDF: Im0 | Dim: 717x391px | CS: DeviceRGB
Pag104_L104_Nell’Arena_03.png | Nome PDF: Im0 | Dim: 511x361px | CS: DeviceRGB
Pag105_L105_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 627x1086px | CS: DeviceRGB
Pag105_L105_Nell’Arena_02.png | Nome PDF: Im0 | Dim: 1083x629px | CS: DeviceRGB
Pag106_L106_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 772x563px | CS: DeviceRGB
Pag107_L107_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 277x529px | CS: DeviceRGB
Pag107_L107_Nell’Arena_02.png | Nome PDF: Im1 | Dim: 424x1086px | CS: DeviceRGB
Pag107_L107_Nell’Arena_03.png | Nome PDF: Im0 | Dim: 525x277px | CS: DeviceRGB
Pag107_L107_Nell’Arena_04.png | Nome PDF: Im0 | Dim: 1083x425px | CS: DeviceRGB
Pag108_L108_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 202x365px | CS: DeviceRGB
Pag108_L108_Nell’Arena_02.png | Nome PDF: Im0 | Dim: 326x387px | CS: DeviceRGB
Pag108_L108_Nell’Arena_03.png | Nome PDF: Im0 | Dim: 361x202px | CS: DeviceRGB
Pag109_L109_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 279x1087px | CS: DeviceRGB
Pag109_L109_Nell’Arena_02.png | Nome PDF: Im0 | Dim: 1083x280px | CS: DeviceRGB
Pag109_L109_Nell’Arena_03.png | Nome PDF: Im0 | Dim: 525x1084px | CS: DeviceRGB
Pag110_L110_Nell’Arena_01.png | Nome PDF: Im0 | Dim: 408x528px | CS: DeviceRGB
Pag111_L111_Oritteropo_01.png | Nome PDF: Im0 | Dim: 151x417px | CS: DeviceRGB
Pag111_L111_Oritteropo_02.png | Nome PDF: Im11 | Dim: 122x695px | CS: DeviceRGB
Pag111_L111_Oritteropo_03.png | Nome PDF: Im12 | Dim: 352x346px | CS: DeviceRGB
Pag111_L111_Oritteropo_04.png | Nome PDF: Im3 | Dim: 333x696px | CS: DeviceRGB
Pag111_L111_Oritteropo_05.png | Nome PDF: Im4 | Dim: 173x458px | CS: DeviceRGB
Pag111_L111_Oritteropo_06.png | Nome PDF: Im5 | Dim: 165x165px | CS: ICCBased
Pag111_L111_Oritteropo_07.png | Nome PDF: Im7 | Dim: 300x260px | CS: DeviceRGB
Pag111_L111_Oritteropo_08.png | Nome PDF: Im0 | Dim: 692x333px | CS: DeviceRGB
Pag111_L111_Oritteropo_09.png | Nome PDF: Im0 | Dim: 300x256px | CS: DeviceRGB
