"Name","Source","Type","File"
"Lucchetto","MB 41","item","Lucchetto_af9dcffda35e446c.json"
"Spada di Ferro","MB 41","weapon","Spada_di_Ferro_86a50ea90ac24ed7.json"
"Lanterna","MB 43","item","Lanterna_903b1aee31c44aaf.json"
"Stiletto","MB 43","weapon","Stiletto_09ccebf23dd44e97.json"
"Tirapugni","MB 43","weapon","Tirapugni_1528b6ffdaf94ed0.json"
"Candele (??5)","MB 45","valuable","Candele_5_2dbbeeaa6ab742e8.json"
"Tenda","MB 45","item","Tenda_14f28d56b364430a.json"
"Balestrino","MB 48","weapon","Balestrino_087b1a38130b4e14.json"
"Gambesone","MB 48","armor","Gambesone_15857f6ead814bc8.json"
"Gambesone a Doppia Trama","MB 48","armor","Gambesone_a_Doppia_Trama_0ab9221d175b467a.json"
"Munizioni Bodkin","MB 74","weapon","Munizioni_Bodkin_e0a1b2c3d4e5f604.json"
"Munizioni Normali","MB 74","weapon","Munizioni_Normali_e0a1b2c3d4e5f601.json"
"Munizioni Punta Larga","MB 74","weapon","Munizioni_Punta_Larga_e0a1b2c3d4e5f603.json"
"Munizioni Smussate","MB 74","weapon","Munizioni_Smussate_e0a1b2c3d4e5f602.json"
"Accetta","MB 75","weapon","Accetta_022f99d584a84f5e.json"
"Alabarda Rossa","MB 75","weapon","Alabarda_Rossa_857219f18f1f4691.json"
"Ascia da Berserker","MB 75","weapon","Ascia_da_Berserker_4382864124ce4ea9.json"
"Azza","MB 75","weapon","Azza_38c1eaacac924334.json"
"Esboda","MB 75","weapon","Esboda_94e00ab95004418a.json"
"Falchion da Cacciatore","MB 75","weapon","Falchion_da_Cacciatore_89218c7039e94a26.json"
"Gleddyf","MB 75","weapon","Gleddyf_63a1778f331749d9.json"
"Jambiya","MB 75","weapon","Jambiya_62953f574ed44869.json"
"Krigsverd","MB 75","weapon","Krigsverd_8baf3e82cc9a4cc6.json"
"Lama Vicovariana","MB 75","weapon","Lama_Vicovariana_964a7a583fe34843.json"
"Maglio degli Altipiani","MB 75","weapon","Maglio_degli_Altipiani_53bb53bd66d24da9.json"
"Spada d???Arme","MB 75","weapon","Spada_dArme_8202b4553ca74b4d.json"
"Torrwr","MB 75","weapon","Torrwr_15485ac3e23d4042.json"
"Arco Corto","MB 76","weapon","Arco_Corto_05729cdd8b8e4b31.json"
"Arco da Guerra","MB 76","weapon","Arco_da_Guerra_34b85896699c4c74.json"
"Arco Lungo","MB 76","weapon","Arco_Lungo_0678c7fef48542fe.json"
"Ascia da Lancio","MB 76","weapon","Ascia_da_Lancio_e0693361f0404e5f.json"
"Balestra da Cacciatore di Mostri","MB 76","weapon","Balestra_da_Cacciatore_di_Mostri_5f833da91e34474a.json"
"Bastone di Ferro","MB 76","weapon","Bastone_di_Ferro_afa5102884274060.json"
"Bastone Uncinato","MB 76","weapon","Bastone_Uncinato_1ae13fff58b64da2.json"
"Coltello da Lancio","MB 76","weapon","Coltello_da_Lancio_1b06de9f1eac4afa.json"
"Orione","MB 76","weapon","Orione_6c74f2fb56bb446d.json"
"Armatura a Piastre","MB 81","armor","Armatura_a_Piastre_3cd42c4b0b5d409c.json"
"Armatura a Piastre Nilfgaardiana","MB 81","armor","Armatura_a_Piastre_Nilfgaardiana_72d75f6f65b94ab9.json"
"Armatura da Alabardiere Redaniana","MB 81","armor","Armatura_da_Alabardiere_Redaniana_25b33d15fa1d4c20.json"
"Armatura Pesante di Hindarsfjall","MB 81","armor","Armatura_Pesante_di_Hindarsfjall_5db318389d2f4b48.json"
"Bacinetto Temeriano","MB 81","armor","Bacinetto_Temeriano_12551b4429c74918.json"
"Cappuccio a Doppia Trama","MB 81","armor","Cappuccio_a_Doppia_Trama_26a5ecf364c04903.json"
"Cappuccio Corazzato","MB 81","armor","Cappuccio_Corazzato_5908f0aa32a3481c.json"
"Cappuccio da Arciere Verden","MB 81","armor","Cappuccio_da_Arciere_Verden_779074d9d8544651.json"
"Elmo a Mezza Maschera","MB 81","armor","Elmo_a_Mezza_Maschera_1cf0d12c7c0c4a96.json"
"Elmo di Skellige","MB 81","armor","Elmo_di_Skellige_251f3f3fe5714cd7.json"
"Elmo Nilfgaardiano","MB 81","armor","Elmo_Nilfgaardiano_ad7a867d126246f0.json"
"Gambesone Aedirniano","MB 81","armor","Gambesone_Aedirniano_35fa0326be7e4799.json"
"Giubba di Cuoio Lyriana","MB 81","armor","Giubba_di_Cuoio_Lyriana_d4ee9209c1ea45c9.json"
"Grande Elmo","MB 81","armor","Grande_Elmo_28a42275e0294a03.json"
"Brache a Doppia Trama","MB 82","armor","Brache_a_Doppia_Trama_dc9fde1aa6b94b24.json"
"Brache da Cavallerizzo","MB 82","armor","Brache_da_Cavallerizzo_5966d38dbaa245dd.json"
"Brache di Cuoio Lyriane","MB 82","armor","Brache_di_Cuoio_Lyriane_5445e5664915423c.json"
"Brache Imbottite","MB 82","armor","Brache_Imbottite_0f36c33bb673419c.json"
"Gambali di Maglia di Hindarsfjall","MB 82","armor","Gambali_di_Maglia_di_Hindarsfjall_85e958e2dba143c9.json"
"Palvese","MB 82","armor","Palvese_1d9b657ce3bc488e.json"
"Palvese Nilfgaardiano","MB 82","armor","Palvese_Nilfgaardiano_9385cb1c78594f42.json"
"Schinieri di Piastre","MB 82","armor","Schinieri_di_Piastre_a193d292b83d491c.json"
"Schinieri Nilfgaardiani","MB 82","armor","Schinieri_Nilfgaardiani_2af41ab1860f4397.json"
"Schinieri Redaniani","MB 82","armor","Schinieri_Redaniani_0c699eff0463498c.json"
"Scudo da Razziatore Skellige","MB 82","armor","Scudo_da_Razziatore_Skellige_18dddff08cf94cc5.json"
"Scudo d???Acciaio a Goccia","MB 82","armor","Scudo_dAcciaio_a_Goccia_6a75a26b4acf4556.json"
"Scudo di Cuoio","MB 82","armor","Scudo_di_Cuoio_4d36f23940c749f6.json"
"Scudo Kaedweni","MB 82","armor","Scudo_Kaedweni_369b6baa241b4b57.json"
"Scudo Temeriano","MB 82","armor","Scudo_Temeriano_970be8417e1c4200.json"
"Munizioni Da Impatto Naniche","MB 86","weapon","Munizioni_Da_Impatto_Naniche_e0a1b2c3d4e5f609.json"
"Munizioni Sventratrici Elfiche","MB 86","weapon","Munizioni_Sventratrici_Elfiche_e0a1b2c3d4e5f608.json"
"Barca a Vela","MB 93","item","Barca_a_Vela_ddc6e01ba5218463.json"
"Bardatura di Cuoio","MB 93","item","Bardatura_di_Cuoio_9cdf4fc33ff58e52.json"
"Bardatura di Maglia di Ferro","MB 93","item","Bardatura_di_Maglia_di_Ferro_3e9f20c8a114a12d.json"
"Bisacce","MB 93","item","Bisacce_b448029bd8e3a4f8.json"
"Bisacce Militari","MB 93","item","Bisacce_Militari_7b01483ef668ccd3.json"
"Bue","MB 93","item","Bue_9b617ae1c204253b.json"
"Carro","MB 93","item","Carro_33e07d1c617174f0.json"
"Carrozza","MB 93","item","Carrozza_d785eacf9fd40e0b.json"
"Cavallo","MB 93","item","Cavallo_123df63708a14c79.json"
"Cavallo da Guerra","MB 93","item","Cavallo_da_Guerra_ed2073af118145ee.json"
"Cutter (barca)","MB 93","item","Cutter_barca_8a0762370e4fa73f.json"
"Mulo","MB 93","item","Mulo_a2528405116aa117.json"
"Nave a Vela","MB 93","item","Nave_a_Vela_44e2a65000502ab3.json"
"Paraocchi","MB 93","item","Paraocchi_9afc4de06080b8e3.json"
"Paraocchi da Corsa","MB 93","item","Paraocchi_da_Corsa_25c1c9e6f2029e8d.json"
"Sella","MB 93","item","Sella_ef5c5e5ae0defac6.json"
"Sella da Cavalleria","MB 93","item","Sella_da_Cavalleria_e9c783549f6bb94b.json"
"Sella da Corsa","MB 93","item","Sella_da_Corsa_a3e78b9256db97b7.json"
"Amuleto con Gemma","MB 94","item","Amuleto_con_Gemma_e409cd54ccdd5e1b.json"
"Amuleto Semplice","MB 94","item","Amuleto_Semplice_7154dad58f595fe8.json"
"Arnesi da Scasso","MB 94","item","Arnesi_da_Scasso_0fef46fca9c86760.json"
"Attrezzatura Alchemica","MB 94","item","Attrezzatura_Alchemica_7e2017507b818aa4.json"
"Attrezzatura da Pesca","MB 94","item","Attrezzatura_da_Pesca_082aece2906976b9.json"
"Forgia Portatile","MB 94","item","Forgia_Portatile_2b659eb0a0cbd8f1.json"
"Kit da Falsario","MB 94","item","Kit_da_Falsario_f514d65de60a299e.json"
"Kit per il Camuffamento","MB 94","item","Kit_per_il_Camuffamento_b973d8bfd6a59942.json"
"Kit per il Trucco","MB 94","item","Kit_per_il_Trucco_2fc480e21c5b4d57.json"
"Occorrente per Scrivere","MB 94","item","Occorrente_per_Scrivere_7f0e91b83500995e.json"
"Strumenti Chirurgici","MB 94","item","Strumenti_Chirurgici_a31b8d623c375e13.json"
"Strumenti per le Belle Arti","MB 94","item","Strumenti_per_le_Belle_Arti_89831d4c8036eac0.json"
"Telecomunicatore","MB 94","item","Telecomunicatore_5197766fa27664ae.json"
"Utensili da Armaiolo","MB 94","item","Utensili_da_Armaiolo_99a13b69ce308173.json"
"Utensili da Cucina","MB 94","item","Utensili_da_Cucina_f6fb2ac7dd7afac0.json"
"Utensili da Mercante","MB 94","item","Utensili_da_Mercante_aecd9fb25eaebbc9.json"
"20m di Corda","MB 95","item","20m_di_Corda_6744066439faf25e.json"
"Abiti Comuni","MB 95","item","Abiti_Comuni_e596e64cca424489.json"
"Abiti da Furfante","MB 95","item","Abiti_da_Furfante_bed44d8b7d4bb824.json"
"Abiti Eleganti","MB 95","item","Abiti_Eleganti_dc594a01542be272.json"
"Abiti per Climi Freddi","MB 95","item","Abiti_per_Climi_Freddi_ba5f65a836de4eb6.json"
"Acciarino","MB 95","item","Acciarino_2e7a4cde5b714ec2.json"
"Alcohest","MB 95","item","Alcohest_d682a5755bc14602.json"
"Artigiano","MB 95","item","Artigiano_dda3513924004a52.json"
"Arto Artificiale","MB 95","item","Arto_Artificiale_87b0d7a95b375f04.json"
"Arto Artificiale di Qualit??","MB 95","item","Arto_Artificiale_di_Qualit?_b81eec29f7eb6759.json"
"Avvocato","MB 95","item","Avvocato_16fabfa87cd946d0.json"
"Bagno Caldo","MB 95","item","Bagno_Caldo_65870f45a04244b4.json"
"Bagno Freddo","MB 95","item","Bagno_Freddo_9034145cef2525af.json"
"Banchetto","MB 95","item","Banchetto_23e728cb1fb44c9f.json"
"Birra","MB 95","item","Birra_0045d0aff6a64de6.json"
"Borraccia","MB 95","item","Borraccia_2b44f63879f1469d.json"
"Buon Pasto","MB 95","item","Buon_Pasto_3d3cb5612735cbc1.json"
"Carne Cruda","MB 95","item","Carne_Cruda_b193ed0c276adc71.json"
"Cavallo Noleggiato","MB 95","item","Cavallo_Noleggiato_0476fc1b767592fa.json"
"Ceppi","MB 95","item","Ceppi_0331c9f01c634935.json"
"Cesta","MB 95","item","Cesta_3809d2319b3a4e45.json"
"Clessidra minuscola","MB 95","item","Clessidra_minuscola_8f6e57c5b20b6012.json"
"Cronista","MB 95","item","Cronista_05554aff6d3442c6.json"
"Custodia per Arco","MB 95","item","Custodia_per_Arco_00cf2898878221ef.json"
"Dadi truccati","MB 95","item","Dadi_truccati_d95c9ecea60556d3.json"
"Diario / Libro Mastro","MB 95","item","Diario_-_Libro_Mastro_b59de88fc253d2b4.json"
"Dolciumi","MB 95","item","Dolciumi_554962849e194aef.json"
"Fodero da Giarrettiera","MB 95","item","Fodero_da_Giarrettiera_a5d0ee86077ca5b2.json"
"Fodero da Manica","MB 95","item","Fodero_da_Manica_8895e74071cee398.json"
"Forziere di Legno","MB 95","item","Forziere_di_Legno_e2a64d611ed035b7.json"
"Galoppino","MB 95","item","Galoppino_5cb644ff346d42ab.json"
"Gessetto","MB 95","item","Gessetto_3b76ad30a3e1424a.json"
"Giaciglio","MB 95","item","Giaciglio_0825956a16624c35.json"
"Gioielli","MB 95","item","Gioielli_2c7ba231626d4418.json"
"Giro in Carrozza","MB 95","item","Giro_in_Carrozza_eb67f269cf3767f3.json"
"Incerata","MB 95","item","Incerata_15194ac65ebc4309.json"
"Intrattenimento","MB 95","item","Intrattenimento_7c2159f96b11eddd.json"
"Investigatore","MB 95","item","Investigatore_2f87986005e64ff4.json"
"Lanterna Schermata","MB 95","item","Lanterna_Schermata_a6555b826b91bdc7.json"
"Lavanderia","MB 95","item","Lavanderia_90536d53a756471d.json"
"Lucchetto Robusto","MB 95","item","Lucchetto_Robusto_63f86bddf3b2af43.json"
"Manette","MB 95","item","Manette_012e9b2163804939.json"
"Mappa del Continente","MB 95","item","Mappa_del_Continente_2eb543cf37545f3a.json"
"Mazzo di Gwent","MB 95","item","Mazzo_di_Gwent_855d242ff1206845.json"
"Medico","MB 95","item","Medico_7ec8a90ac1d79862.json"
"Messaggero","MB 95","item","Messaggero_a93f7606b2a742c6.json"
"Paglia sul Pavimento","MB 95","item","Paglia_sul_Pavimento_3b88c9437acfb438.json"
"Pasto Semplice","MB 95","item","Pasto_Semplice_b6ee0b090a412f5e.json"
"Pedaggio di Accesso","MB 95","item","Pedaggio_di_Accesso_6decda85e94594ed.json"
"Picchetti (??5)","MB 95","valuable","Picchetti_5_1267697207ac492c.json"
"Pipa","MB 95","item","Pipa_6590330f21dc441d.json"
"Plancia da Poker con Dadi","MB 95","item","Plancia_da_Poker_con_Dadi_0fecb247b05c8e55.json"
"Profumo / Acqua di Colonia","MB 95","item","Profumo_-_Acqua_di_Colonia_9813c3ad8c118fde.json"
"Prostituta","MB 95","item","Prostituta_f00be6bd9788f9b9.json"
"Razioni da Viaggio (1 giorno)","MB 95","item","Razioni_da_Viaggio_8c1fc4ca62f8d45e.json"
"Ricettatore","MB 95","item","Ricettatore_c6b5ed14eda9e0c6.json"
"Sacca da Viaggio","MB 95","item","Sacca_da_Viaggio_9011460d40f773a0.json"
"Sacco","MB 95","item","Sacco_81c2ab1ca91a40e7.json"
"Sapone","MB 95","item","Sapone_8a9850e62169431f.json"
"Scrigno di Legno","MB 95","item","Scrigno_di_Legno_edb3a5939fc8691c.json"
"Simbolo Sacro","MB 95","item","Simbolo_Sacro_9122c168f86b758b.json"
"Stallaggio","MB 95","item","Stallaggio_6d05e6eb55e24635.json"
"Stanza in Locanda d'Alta Classe","MB 95","item","Stanza_in_Locanda_d'Alta_Classe_8206866faea6b020.json"
"Stanza in Locanda di Qualit??","MB 95","item","Stanza_in_Locanda_di_Qualit?_82cb6f3fb5cdec93.json"
"Stanza in Locanda Economica","MB 95","item","Stanza_in_Locanda_Economica_f7a9f92884553cff.json"
"Stanza in Locanda Malfamata","MB 95","item","Stanza_in_Locanda_Malfamata_12462827e82ae2a0.json"
"Stanza in Locanda Media","MB 95","item","Stanza_in_Locanda_Media_b34c402f07113f1f.json"
"Strumento Musicale","MB 95","item","Strumento_Musicale_f32ae72e4dc0c34a.json"
"Superalcolici","MB 95","item","Superalcolici_478dec7fc63947bd.json"
"Tabacco","MB 95","item","Tabacco_d17e49d02704585c.json"
