Voce,Stato,Percorso,Pack,Note
"Reliquie / Oggetti Leggendari (Arco Lunare, Armatura di Corvo)",PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-armor\armatura_di_corvo_fa441f33e3d31e66.json,witcher-armor,Nome nel JSON: Armatura di Corvo
"Reliquie / Oggetti Leggendari (Arco Lunare, Armatura di Corvo)",PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-weapons\Arco_Lunare_7a8b9c0d1e2f3a4b.json,witcher-weapons,Nome nel JSON: Arco Lunare
Vita Scolastica Maghi,MANCANTE,,,Non trovato nel nome dei JSON
Vita da Mago,MANCANTE,,,Non trovato nel nome dei JSON
Storia dei Druidi,MANCANTE,,,Non trovato nel nome dei JSON
Spiriti Senza Pace,PRESENTE_ALTROVE,MAGIA_E_MALEDIZIONI\Necromanzia\witcher-necromanzia\regola_necromanzia_spiriti_senza_pace_esperto_6ac4ebcbb859b11c.json,witcher-necromanzia,Nome nel JSON: Regola Necromanzia: Spiriti Senza Pace (Esperto)
Spiriti Senza Pace,PRESENTE_ALTROVE,MAGIA_E_MALEDIZIONI\Necromanzia\witcher-necromanzia\regola_necromanzia_spiriti_senza_pace_maestro_80f7bacc09ceb15f.json,witcher-necromanzia,Nome nel JSON: Regola Necromanzia: Spiriti Senza Pace (Maestro)
Spiriti Senza Pace,PRESENTE_ALTROVE,MAGIA_E_MALEDIZIONI\Necromanzia\witcher-necromanzia\regola_necromanzia_spiriti_senza_pace_novizio_c537d694fffcbede.json,witcher-necromanzia,Nome nel JSON: Regola Necromanzia: Spiriti Senza Pace (Novizio)
Demoni Maggiori e Veri Nomi,MANCANTE,,,Non trovato nel nome dei JSON
Artorius Vigo,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\Artorius_Vigo_6172746f72697573.json,witcher-characters,
Bronwyn Occhiofino,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\Bronwyn_Occhiofino_62726f6e77796e6f.json,witcher-characters,
Cadfan di Ebbing,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\cadfan_di_ebbing_63616466616e6562.json,witcher-characters,
Dormyn di Gemmera,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\dormyn_di_gemmera_646f726d796e6765.json,witcher-characters,
Dorregaray di Vole,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\dorregaray_di_vole_646f727265676172.json,witcher-characters,
Drystan di Nazair,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\drystan_di_nazair_6472797374616e6e.json,witcher-characters,
Elgan di Verden,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\elgan_di_verden_656c67616e766572.json,witcher-characters,
Francesca Findabair,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\francesca_findabair_6672616e63657363.json,witcher-characters,
Fringilla Vigo,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\fringilla_vigo_6672696e67696c6c.json,witcher-characters,
Istredd,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\istredd_697374726564645f.json,witcher-characters,
Keira Metz,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\keira_metz_6b656972616d6574.json,witcher-characters,
Margarita Laux-Antille,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\margarita_laux_antille_6d61726761726974.json,witcher-characters,
Philippa Eilhart,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\philippa_eilhart_7068696c69707061.json,witcher-characters,
Sile de Tancarville,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\sile_de_tancarville_616466616e656263.json,witcher-characters,
Stregobor di Kovir,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\stregobor_di_kovir_73747265676f626f.json,witcher-characters,
Xarthisius,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\xarthisius_7861727468697369.json,witcher-characters,
Amalgama di Corpi,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\AMALGAMA_DI_CORPI_5b3a0eaa108c4e31.json,witcher-monsters,
Armatura Vivente,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\ARMATURA_VIVENTE_7989cf0e75c84ac4.json,witcher-monsters,
Bes,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components\corno_di_bes_73b3c6bf627ad6a7.json,witcher-components,Nome nel JSON: Corno di Bes
Bes,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components\Ossa_di_Bestia_153eebc437e17f8e.json,witcher-components,Nome nel JSON: Ossa di Bestia
Bes,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Formule_e_Ricette\witcher-alchemy\Formula_Olio_Anti-Bestie_wo_.json,witcher-alchemy,Nome nel JSON: Formula: Olio Anti-Bestie
Bes,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\Gambesone_4285f14ebabe4267.json,witcher-schematics,Nome nel JSON: Gambesone
Bes,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\Gambesone_46fb4b4342b35e99.json,witcher-schematics,Nome nel JSON: Gambesone
Bes,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\Gambesone_Aedirniano_36c52cca45ff4196.json,witcher-schematics,Nome nel JSON: Gambesone Aedirniano
Bes,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\Gambesone_Aedirniano_e42f9a8308fc1a06.json,witcher-schematics,Nome nel JSON: Gambesone Aedirniano
Bes,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\Gambesone_a_Doppia_Trama_4a20469cefed01ce.json,witcher-schematics,Nome nel JSON: Gambesone a Doppia Trama
Bes,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\Gambesone_a_Doppia_Trama_acc6ed867df2477c.json,witcher-schematics,Nome nel JSON: Gambesone a Doppia Trama
Bes,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\bestia_del_lago_tankred_8e1eab2491949360.json,witcher-monsters,Nome nel JSON: Bestia del Lago Tankred
Bes,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\BES_7e2ac369b1344d85.json,witcher-monsters,
Bes,PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-armor\Gambesone_15857f6ead814bc8.json,witcher-armor,Nome nel JSON: Gambesone
Bes,PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-armor\Gambesone_Aedirniano_35fa0326be7e4799.json,witcher-armor,Nome nel JSON: Gambesone Aedirniano
Bes,PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-armor\Gambesone_a_Doppia_Trama_0ab9221d175b467a.json,witcher-armor,Nome nel JSON: Gambesone a Doppia Trama
Bes,PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Attrezzatura_e_Oggetti\witcher-special\anti_bestie_be0449da77ab5136.json,witcher-special,Nome nel JSON: Anti-Bestie
Bes,PRESENTE_ALTROVE,MAGIA_E_MALEDIZIONI\Maledizioni_e_Fatture\witcher-hexes-base\La_Fattura_della_Bestia_179fcc56053e458e.json,witcher-hexes-base,Nome nel JSON: La Fattura della Bestia
Bes,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-skills\bestiario_fb419ebc522bdec9.json,witcher-skills,Nome nel JSON: Bestiario
Bes,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-skills\forma_bestiale_b0c1d2e3f4a5b6c7.json,witcher-skills,Nome nel JSON: Forma Bestiale
Bes,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-skills\guaritore_di_bestie_d0e1f2a3b4c5d6e7.json,witcher-skills,Nome nel JSON: Guaritore di Bestie
Casglydd,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\CASGLYDD_74369e6bcb144839.json,witcher-monsters,
Grande Orso,PRESENTE_ALTROVE,BESTIARIO\witcher-animals\GRANDE_ORSO_428856c3bd17449e.json,witcher-animals,
Mari Lwyd,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components\teschio_di_mari_lwyd_9e4a66d47a330a97.json,witcher-components,Nome nel JSON: Teschio di Mari Lwyd
Mari Lwyd,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\MARI_LWYD_817df366a12d4597.json,witcher-monsters,
Penitente,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components\mutageno_penitente_blu_255a1d339d1cb6b1.json,witcher-components,Nome nel JSON: Mutageno Penitente (Blu)
Penitente,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Mutageni\witcher-mutations\mutageno_del_penitente_03d0bc7218ed9345.json,witcher-mutations,Nome nel JSON: Mutageno del Penitente
Penitente,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\PENITENTE_a34ed9b7ba1f433d.json,witcher-monsters,
L'Epoca d'Oro dei Witcher,MANCANTE,,,Non trovato nel nome dei JSON
Bullvore,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_bullvore_verde_588c2858ac1fddac.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Bullvore (Verde)
Bullvore,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Bullvore_a26b1940ed7c3f85.json,witcher-monsters,
Bullvore,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Bullvore_2080fd6df9870025.json,witcher-trophies,Nome nel JSON: Trofeo: Bullvore
Bullvore,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Bullvore_cc91de6008bf43ad.json,witcher-trophies,Nome nel JSON: Trofeo: Bullvore
Demone Putrefatto,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Demone_Putrefatto_0e418579b3fa26dc.json,witcher-monsters,
Foglet,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_foglet_blu_a0fbf1659fd9c609.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Foglet (Blu)
Foglet,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Foglet_02deb874c639fa51.json,witcher-monsters,
Foglet,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Foglet_9df8a6c2565045cd.json,witcher-trophies,Nome nel JSON: Trofeo: Foglet
Foglet,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Foglet_b8114946f47e7364.json,witcher-trophies,Nome nel JSON: Trofeo: Foglet
Barghest,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Barghest_1873eda52b0c64f9.json,witcher-monsters,
Hym,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Hym_e5df03bc61479a82.json,witcher-monsters,
Hym,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Hym_8eac402a2ab5a31e.json,witcher-trophies,Nome nel JSON: Trofeo: Hym
Hym,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Hym_b6f1c7f754524480.json,witcher-trophies,Nome nel JSON: Trofeo: Hym
Pesta,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_pesta_blu_92245d7fc0f0a520.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Pesta (Blu)
Pesta,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Formule_e_Ricette\witcher-alchemy\Tempesta_0ddba784e460e45c.json,witcher-alchemy,Nome nel JSON: Tempesta
Pesta,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Pesta_463e78129a5b0dcf.json,witcher-monsters,
Pesta,PRESENTE_ALTROVE,MAGIA_E_MALEDIZIONI\Incantesimi_e_Rituali\witcher-spells\Tempesta_di_Fulmini_90697777a5c649bd.json,witcher-spells,Nome nel JSON: Tempesta di Fulmini
Pesta,PRESENTE_ALTROVE,MAGIA_E_MALEDIZIONI\Incantesimi_e_Rituali\witcher-spells\Tempesta_Statica_2b695655fadb4810.json,witcher-spells,Nome nel JSON: Tempesta Statica
Pesta,PRESENTE_ALTROVE,MAGIA_E_MALEDIZIONI\Incantesimi_e_Rituali\witcher-spells-chaos\Mano_della_Tempesta_7658c63c20704bf9.json,witcher-spells-chaos,Nome nel JSON: Mano della Tempesta
Pesta,PRESENTE_ALTROVE,MAGIA_E_MALEDIZIONI\Maledizioni_e_Fatture\witcher-hexes-base\Il_Bacio_della_Pesta_d911837f923f484a.json,witcher-hexes-base,Nome nel JSON: Il Bacio della Pesta
Pesta,PRESENTE_ALTROVE,MAGIA_E_MALEDIZIONI\Necromanzia\witcher-necromanzia\incantesimo_necromante_tempesta_di_anime_ac6ba05edc002cb9.json,witcher-necromanzia,Nome nel JSON: Incantesimo Necromante: Tempesta di Anime
Pesta,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Pesta_6e71f47e4eaeb3cc.json,witcher-trophies,Nome nel JSON: Trofeo: Pesta
Pesta,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Pesta_c92f2cb5cc4040f4.json,witcher-trophies,Nome nel JSON: Trofeo: Pesta
Cinghiale (bestia),PRESENTE_ALTROVE,BESTIARIO\witcher-animals\Cinghiale_9163caeb805d4f72.json,witcher-animals,Nome nel JSON: Cinghiale
Orso (bestia),PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components\grasso_dorso_92e00306fb135017.json,witcher-components,Nome nel JSON: Grasso d'Orso
Orso (bestia),PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components\mutageno_dorso_verde_5c551170e0f9898d.json,witcher-components,Nome nel JSON: Mutageno d'Orso (Verde)
Orso (bestia),PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components\pelle_dorso_5bd59e64aff7a81e.json,witcher-components,Nome nel JSON: Pelle d'Orso
Orso (bestia),PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_orso_verde_28de3488d21c948c.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Orso (Verde)
Orso (bestia),PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Mutageni\witcher-mutations\mutageno_dellorso_48efaefec164e4d0.json,witcher-mutations,Nome nel JSON: Mutageno dell'Orso
Orso (bestia),PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-dlc-sw-schematics\schema_armatura_del_orso_4faf34eb649331cd.json,witcher-dlc-sw-schematics,Nome nel JSON: Schema Armatura del Orso
Orso (bestia),PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-dlc-sw-schematics\schema_balestra_del_orso_9407a5179b6438cb.json,witcher-dlc-sw-schematics,Nome nel JSON: Schema Balestra del Orso
Orso (bestia),PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-dlc-sw-schematics\schema_spada_dacciaio_del_orso_09658d766401261d.json,witcher-dlc-sw-schematics,Nome nel JSON: Schema Spada d'Acciaio del Orso
Orso (bestia),PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-dlc-sw-schematics\schema_spada_dargento_del_orso_1e19004d01539483.json,witcher-dlc-sw-schematics,Nome nel JSON: Schema Spada d'Argento del Orso
Orso (bestia),PRESENTE_ALTROVE,BESTIARIO\witcher-animals\GRANDE_ORSO_428856c3bd17449e.json,witcher-animals,Nome nel JSON: Grande Orso
Orso (bestia),PRESENTE_ALTROVE,BESTIARIO\witcher-animals\Orso_5f2c01967d4a8be3.json,witcher-animals,Nome nel JSON: Orso
Orso (bestia),PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-armor\armatura_dellorso_92115d85b40fbb64.json,witcher-armor,Nome nel JSON: Armatura dell’Orso
Orso (bestia),PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-dlc-sw-equipment\armatura_del_orso_7817efe6ffb84fbe.json,witcher-dlc-sw-equipment,Nome nel JSON: Armatura del Orso
Orso (bestia),PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-dlc-sw-equipment\balestra_del_orso_e2c45d03f675ac5c.json,witcher-dlc-sw-equipment,Nome nel JSON: Balestra del Orso
Orso (bestia),PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-dlc-sw-equipment\spada_dacciaio_del_orso_c76043256396f90e.json,witcher-dlc-sw-equipment,Nome nel JSON: Spada d'Acciaio del Orso
Orso (bestia),PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-dlc-sw-equipment\spada_dargento_del_orso_1468fd49a992bbdd.json,witcher-dlc-sw-equipment,Nome nel JSON: Spada d'Argento del Orso
