Voce,Pack,Percorso,StatoContenuto,Anteprima (primi 80 char)
Amalgama Di Corpi,witcher-monsters,BESTIARIO\witcher-monsters\AMALGAMA_DI_CORPI_5b3a0eaa108c4e31.json,COMPLETO,Un amalgama di corpi è un golem non-senziente formato da cadaveri parzialmente r
Archeospora,witcher-monsters,BESTIARIO\witcher-monsters\Archeospora_b3f7102e8a56c9d4.json,COMPLETO,I luoghi dove si sono consumate tragedie come terribili omicidi o pogrom sono sp
Armatura Vivente,witcher-monsters,BESTIARIO\witcher-monsters\ARMATURA_VIVENTE_7989cf0e75c84ac4.json,COMPLETO,"Invece di impiegare come guardia un umano fallibile, dotandolo di armi e armatur"
Arpia,witcher-monsters,BESTIARIO\witcher-monsters\Arpia_1e728fda490563cb.json,COMPLETO,Le arpie si trovano spesso su picchi e scogliere e possono calare senza preavvis
Barbegazi,witcher-monsters,BESTIARIO\witcher-monsters\Barbegazi_e8ad2614f03759cb.json,COMPLETO,"Sui monti bisogna stare sempre all’erta, perché ogni masso potrebbe essere un ba"
Barghest,witcher-monsters,BESTIARIO\witcher-monsters\Barghest_1873eda52b0c64f9.json,COMPLETO,"Contrariamente alle credenze comuni, i barghest non sono un castigo divino invia"
Battiroccia,witcher-monsters,BESTIARIO\witcher-monsters\Battiroccia_52f91a6ec3074bd8.json,COMPLETO,I battiroccia sono ricoperti di pelliccia e attratti dai metalli. Sono un grosso
Bestia del Lago Tankred,witcher-monsters,BESTIARIO\witcher-monsters\bestia_del_lago_tankred_8e1eab2491949360.json,COMPLETO,La Bestia del Lago TankredIn cima alla testa ci sono due piccoli occhi luccicant
Bes,witcher-monsters,BESTIARIO\witcher-monsters\BES_7e2ac369b1344d85.json,COMPLETO,"I bes sono demoni di furia e potere, che giungono nel mondo solo per diffondere "
Botchling,witcher-monsters,BESTIARIO\witcher-monsters\Botchling_e718b2094dc653fa.json,COMPLETO,"I botchling sono creature spaventose, neonati sepolti in fretta o abbandonati. P"
Bruxa,witcher-monsters,BESTIARIO\witcher-monsters\Bruxa_39f04128bca6d5e7.json,COMPLETO,Le bruxa sono vampiri senzienti capaci di mimetizzarsi perfettamente negli insed
Bullvore,witcher-monsters,BESTIARIO\witcher-monsters\Bullvore_a26b1940ed7c3f85.json,COMPLETO,"I bullvore, una specie di necrofago apparsa nel Continente dopo la Congiunzione,"
Casglydd,witcher-monsters,BESTIARIO\witcher-monsters\CASGLYDD_74369e6bcb144839.json,COMPLETO,"La gente farebbe di tutto per l’informazione giusta. Eh, fidati, il vecchio Rodo"
Ciclope,witcher-monsters,BESTIARIO\witcher-monsters\Ciclope_a2894b75360efc1d.json,COMPLETO,"I ciclopi sono una delle molte specie di orchi che sembrano senzienti, sebbene n"
Cockatrice,witcher-monsters,BESTIARIO\witcher-monsters\Cockatrice_345c27df89b0a6e1.json,COMPLETO,La cockatrice è un dragonide che preferisce caverne e sotterranei freddi e umidi
Demone Putrefatto,witcher-monsters,BESTIARIO\witcher-monsters\Demone_Putrefatto_0e418579b3fa26dc.json,COMPLETO,"I demoni putrefatti non sono cadaveri, anche se somigliano molto a corpi in deco"
Elementale di Fuoco,witcher-monsters,BESTIARIO\witcher-monsters\Elementale_di_Fuoco_0b1a8754f3c2e96d.json,COMPLETO,Questi elementali sono aggressivi e vengono evocati per distruggere i nemici dai
Elementale di Ghiaccio,witcher-monsters,BESTIARIO\witcher-monsters\Elementale_di_Ghiaccio_b326af7c5e18490d.json,COMPLETO,"I maghi evocano raramente gli elementali di ghiaccio, se non in luoghi che ne es"
Elementale di Terra,witcher-monsters,BESTIARIO\witcher-monsters\Elementale_di_Terra_279c64d03ebf1a85.json,COMPLETO,Gli elementali di terra sono i costrutti che si incontrano più facilmente al ser
Fenice,witcher-monsters,BESTIARIO\witcher-monsters\Fenice_395027d6cbea148f.json,COMPLETO,"Le fenici sono tra i mostri più rari del Continente. Sebbene non parlino, è poss"
Foglet,witcher-monsters,BESTIARIO\witcher-monsters\Foglet_02deb874c639fa51.json,COMPLETO,"La nebbia è pericolosa per i viaggiatori, ma mai quanto le luci al suo interno. "
Frightener,witcher-monsters,BESTIARIO\witcher-monsters\Frightener_4fb21c96538da7e0.json,COMPLETO,"Il primo frightener venne creato da un mago ribelle, Dagobert Sulla. Venne ideat"
Garkain,witcher-monsters,BESTIARIO\witcher-monsters\Garkain_e4d1b092f7c638a5.json,COMPLETO,I garkain sono vampiri d'intelligenza ferale che cacciano in branco guidati da u
Godling,witcher-monsters,BESTIARIO\witcher-monsters\Godling_ea0b462d9f5871c3.json,COMPLETO,"I godling sono innocui se non vengono offesi e, a differenza di molti altri most"
Hym,witcher-monsters,BESTIARIO\witcher-monsters\Hym_e5df03bc61479a82.json,COMPLETO,"Anche se viene classificato come spettro, un hym è in realtà un demone che vive "
Leshen,witcher-monsters,BESTIARIO\witcher-monsters\Leshen_d25be16a30987c4f.json,COMPLETO,"I leshen dominano le foreste primordiali del Continente, piegando al proprio vol"
Manticora,witcher-monsters,BESTIARIO\witcher-monsters\Manticora_16b379d2c05e4f8a.json,COMPLETO,Le manticore sono comunemente note come uno dei mostri più antichi e letali del 
Mari Lwyd,witcher-monsters,BESTIARIO\witcher-monsters\MARI_LWYD_817df366a12d4597.json,COMPLETO,"Se, nel cuore della notte, sentite un coro inquietante fuori dalla vostra porta,"
Penitente,witcher-monsters,BESTIARIO\witcher-monsters\PENITENTE_a34ed9b7ba1f433d.json,COMPLETO,Un penitente è un demone che perseguita chi ha commesso un crimine. – Rodolf Kaz
Pesta,witcher-monsters,BESTIARIO\witcher-monsters\Pesta_463e78129a5b0dcf.json,COMPLETO,"Le pesta, note anche come “fanciulle della pestilenza”, sono un raro tipo di spe"
Plumard,witcher-monsters,BESTIARIO\witcher-monsters\Plumard_d2b7c4a0398f6e15.json,COMPLETO,Ad Angren i plumard sono una continua minaccia per il bestiame. Pur essendo clas
Scaltrocertola,witcher-monsters,BESTIARIO\witcher-monsters\Scaltrocertola_31e65a29f7d048bc.json,COMPLETO,"Predatori eccezionali capaci di battersi tanto a terra quanto in cielo, le scalt"
Scolopendra Gigante,witcher-monsters,BESTIARIO\witcher-monsters\Scolopendra_Gigante_ea4189d5603b2c7f.json,COMPLETO,"Le scolopendre giganti sono creature ferali e cieche, che percepiscono anche la "
Shaelmaar,witcher-monsters,BESTIARIO\witcher-monsters\Shaelmaar_c6f108bd53ae4729.json,COMPLETO,Gli shaelmaar sono colossali creature sotterranee dotate di spessi gusci chitino
Succube & Incubo,witcher-monsters,BESTIARIO\witcher-monsters\succube_incubo_7ed094f23185bc6a.json,COMPLETO,"Nonostante le superstizioni, le succubi non sono demoni, ma appartengono a una t"
Troll,witcher-monsters,BESTIARIO\witcher-monsters\Troll_48a5d21bf7c06e93.json,COMPLETO,"Che vivano nelle foreste, nelle caverne o sotto i ponti, tutti i troll amano la "
Troll di Roccia,witcher-monsters,BESTIARIO\witcher-monsters\Troll_di_Roccia_aad7dc7659774d5b.json,COMPLETO,Tutti sanno che i troll sono grandi costruttori e lavorano in cambio di vodka. P
Vampiro Superiore,witcher-monsters,BESTIARIO\witcher-monsters\Vampiro_Superiore_c6f1d0a29b3e8a47.json,COMPLETO,"I vampiri superiori sono creature leggendarie di immensa potenza, capaci di rige"
Vendigo,witcher-monsters,BESTIARIO\witcher-monsters\Vendigo_e4a39bc56f780d12.json,COMPLETO,I vendigo infestano i picchi più alti del Continente. Hanno la testa adorna di u
Vero Drago,witcher-monsters,BESTIARIO\witcher-monsters\Vero_Drago_b3a1d9c72e4f0a6d.json,COMPLETO,I veri draghi sono tra le creature più potenti e senzienti del mondo. Possono co
Aedirn,witcher-geografia,REGOLAMENTO_E_NARRATIVA\Geografia\witcher-geografia\aedirn_4e4fcfee93ea8b0a.json,COMPLETO,Aedirn è considerata la più sofisticata delle quattro nazioni preminenti del Nor
Cintra,witcher-geografia,REGOLAMENTO_E_NARRATIVA\Geografia\witcher-geografia\cintra_ace36577fcd7f501.json,COMPLETO,"Cintra era uno dei regni più potenti del Nord, situato strategicamente alla foce"
Dol Blathanna,witcher-geografia,REGOLAMENTO_E_NARRATIVA\Geografia\witcher-geografia\dol_blathanna_da1464036f79fd5d.json,COMPLETO,"Dol Blathanna, la Valle dei Fiori, è un antico territorio elfico nel basso Aedir"
Impero di Nilfgaard,witcher-geografia,REGOLAMENTO_E_NARRATIVA\Geografia\witcher-geografia\impero_di_nilfgaard_bde1d273eca2dc15.json,COMPLETO,"L'Impero di Nilfgaard è la nazione più potente del mondo, situata all'estremo su"
Isole Skellige,witcher-geografia,REGOLAMENTO_E_NARRATIVA\Geografia\witcher-geografia\isole_skellige_eedd80d32252fc5e.json,COMPLETO,Skellige è un arcipelago di isole tempestose situate a ovest del Continente. La 
Kaedwen,witcher-geografia,REGOLAMENTO_E_NARRATIVA\Geografia\witcher-geografia\kaedwen_af7707aeaf1c3944.json,COMPLETO,"Kaedwen è la nazione più grande dei Regni Settentrionali, coperta da foreste e m"
Kovir e Poviss,witcher-geografia,REGOLAMENTO_E_NARRATIVA\Geografia\witcher-geografia\kovir_e_poviss_60239d87af93e1fe.json,COMPLETO,"Un tempo considerate terre d'esilio aride e fredde, Kovir e Poviss sono oggi le "
Mahakam,witcher-geografia,REGOLAMENTO_E_NARRATIVA\Geografia\witcher-geografia\mahakam_d48ff43e6c3a1d5b.json,COMPLETO,"Mahakam è l'enclave nanica più grande del mondo, situata tra i Monti Amell. È un"
Redania,witcher-geografia,REGOLAMENTO_E_NARRATIVA\Geografia\witcher-geografia\redania_b0707794864766aa.json,COMPLETO,"La Redania è la potenza commerciale del Nord, controllando Novigrad e il delta d"
Temeria,witcher-geografia,REGOLAMENTO_E_NARRATIVA\Geografia\witcher-geografia\temeria_a1705c105051a033.json,COMPLETO,Temeria è una delle nazioni più antiche e stabili dei Regni Settentrionali. La l
Accademia di Ban Ard,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\accademia_di_ban_ard_feb8d88305ecf65d.json,COMPLETO,BAN ARD L’Accademia di Ban Ard si trova nell’omo- nima città del regno di Kaedwe
Accademia di Oxenfurt,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\accademia_di_oxenfurt_26876470c3e4ca28.json,COMPLETO,Oxenfurt è la più vivace tra le città di Redania. L'Accademia di Oxenfurt occupa
Chiesa di Kreve,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\chiesa_di_kreve_f2fa3cc3d3205d48.json,COMPLETO,"Il culto di Kreve è una delle religioni del Nord, basato sulla venerazione di un"
Confraternita dei Maghi,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\confraternita_dei_maghi_9811007fd61ca8c2.json,COMPLETO,"La prima organizzazione d’incantatori fu la Confraternita dei Maghi, nell’VIII s"
Druidismo,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\druidismo_699fea1f334ad775.json,COMPLETO,"I druidi sono incantatori insoliti il cui potere è ritenuto di origine divina, c"
Freya,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\freya_c11b9b55943045df.json,COMPLETO,"--- Pagina 41 --- [Immagini presenti in questa pagina: Pag041_L41_Freya_01.png, "
Fuoco Eterno,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\fuoco_eterno_43199601acf64f5c.json,COMPLETO,--- Pagina 208 --- [Immagini presenti in questa pagina: Pag208_L208_Fuoco Eterno
Il Grande Sole,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\il_grande_sole_3467a3614ac7ed89.json,COMPLETO,--- Pagina 209 --- [Immagini presenti in questa pagina: Pag209_L209_Il Grande So
Isola di Thanedd,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\isola_di_thanedd_6f51d99891deef49.json,COMPLETO,"Isola situata a nordovest di Gors Velen, sede dell'accademia di magia femminile "
Kaer Morhen,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\kaer_morhen_db6d68c0a4d602fb.json,COMPLETO,"Antica fortezza sede della Scuola del Lupo, situata tra i Monti Blu. Gli addestr"
Loggia delle Maghe,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\loggia_delle_maghe_1bb7c455eb90d228.json,COMPLETO,"La Loggia delle Maghe fu fondata segretamente da Philippa Eilhart, ex-consiglier"
Luoghi di Potere,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\luoghi_di_potere_415219194985e396.json,COMPLETO,I luoghi di potere sono potenti rovine magiche lasciate da antichi stregoni elfi
Melitele,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\melitele_ab82bd9a398f9a0f.json,COMPLETO,--- Pagina 44 --- [Immagini presenti in questa pagina: Pag044_L44_Melitele_01.pn
Niya (Lilit),witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\niya_lilit_ce77b34c021c548b.json,COMPLETO,Niya è il nome con cui viene oggi venerata l'antica dea della distruzione Lilit.
Ordine della Rosa Fiammeggiante,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\ordine_della_rosa_fiammeggiante_23ab68d64fc31daf.json,COMPLETO,"L'originale braccio militare della Chiesa era l'Ordine della Rosa Bianca, ma con"
San Gregory,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\san_gregory_b709bab033fbb57f.json,COMPLETO,"San Gregory è un santo venerato dai fedeli del culto di Kreve, celebre per aver "
Scoia'tael,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scoiatael_42a06330dc87bebe.json,COMPLETO,--- Pagina 205 --- [Immagini presenti in questa pagina: Pag205_L205_Scoia’tael_0
Scuola della Manticora,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scuola_della_manticora_0381b8b3a09d540b.json,COMPLETO,Sesta scuola di witcher di cui si hanno solo notizie frammentarie. Secondo il me
Scuola della Vipera,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scuola_della_vipera_aa004a9cff1c197d.json,COMPLETO,"Si racconta che la Fortezza della Vipera, Gorthwr Gwaed, si trovi sui Tir Tochai"
Scuola dell'Orso,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scuola_dellorso_5581f590a4fd4caf.json,COMPLETO,"La Fortezza dell'Orso, Haern Cadwch, si trova sui Monti Amell. Questi witcher in"
Scuola del Gatto,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scuola_del_gatto_e32a8fee21cdc838.json,COMPLETO,"I Gatti sono, probabilmente, ciò che ha portato la gente a non fidarsi dei witch"
Scuola del Grifone,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scuola_del_grifone_68022f21c5e19796.json,COMPLETO,"La Fortezza del Grifone, Kaer y Seren, era nel Nord, dove i Monti del Drago ragg"
Scuola del Lupo,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scuola_del_lupo_514436e8bc41897a.json,COMPLETO,"La Fortezza del Lupo, Kaer Morhen, è nascosta nelle Montagne Blu a Kaedwen. Ques"
Scuola di Aretuza,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scuola_di_aretuza_d45b0f6548f79a9a.json,COMPLETO,"Accademia di magia situata sull'isola di Thanedd, a nordovest di Gors Velen. Ris"
Valle del Pontar,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\valle_del_pontar_0424fbba50bef61e.json,COMPLETO,La Valle del Pontar è una delle regioni più fertili e strategicamente importanti
Veyopatis,witcher-lore,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\veyopatis_599ad40d14ee5aa0.json,COMPLETO,--- Pagina 48 --- [Immagini presenti in questa pagina: Pag048_L48_Veyopatis_01.p
Lore: Linee Geomantiche — Definizione,witcher-lore-chaos,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore-chaos\lore_linee_geomantiche_definizione_eb145f9ad6ee28ab.json,COMPLETO,Le Linee Geomantiche sono sentieri di magia invisibili e semi-intangibili che at
Lore: Linee Geomantiche — Elemento Acqua,witcher-lore-chaos,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore-chaos\lore_linee_geomantiche_elemento_acqua_d70fc75101163b31.json,COMPLETO,"Elemento: Acqua. Segnali: Umidità innaturale, ruscelli, onde anomale. Benefici: "
Lore: Linee Geomantiche — Elemento Aria,witcher-lore-chaos,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore-chaos\lore_linee_geomantiche_elemento_aria_8ce2e2491e3e4854.json,COMPLETO,"Elemento: Aria. Segnali: Frequenti mulinelli di polvere, cirri, odore di ozono. "
Lore: Linee Geomantiche — Elemento Fuoco,witcher-lore-chaos,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore-chaos\lore_linee_geomantiche_elemento_fuoco_8134c5e015861d67.json,COMPLETO,"Elemento: Fuoco. Segnali: Piante avvizzite, foschia da calore, sole accecante. B"
Lore: Linee Geomantiche — Elemento Terra,witcher-lore-chaos,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore-chaos\lore_linee_geomantiche_elemento_terra_14e141aed1808487.json,COMPLETO,"Elemento: Terra. Segnali: Crescita anomala di piante, alberi contorti, pietre di"
Lore: Linee Geomantiche — Preti e Druidi,witcher-lore-chaos,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore-chaos\lore_linee_geomantiche_preti_e_druidi_1c4488d356be8b07.json,COMPLETO,Elemento: Misto. Benefici: Chi lancia una magia da una Linea Geomantica aumenta 
Lore: Linee Geomantiche — Trarre Potere,witcher-lore-chaos,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore-chaos\lore_linee_geomantiche_trarre_potere_39daea5ccbf4a1f1.json,COMPLETO,"Una volta entrato in contatto fisico con una Linea Geomantica, un mago, un prete"
Lore: Luoghi di Potere,witcher-lore-chaos,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore-chaos\lore_luoghi_di_potere_5a33d643fae17112.json,COMPLETO,Creare un Luogo di Potere richiede di incidere complessi sigilli su un menhir po
Lore: Redigere uno Scritto (Introduzione TC),witcher-lore-chaos,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore-chaos\lore_redigere_uno_scritto_introduzione_tc_61a0db9c2f596c18.json,COMPLETO,"Il Tomo del Caos è un'opera nata dalla collaborazione tra Brandon di Oxenfurt, c"
Glossario Dialetto Skellige,witcher-lore-racconti,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore-racconti\glossario_dialetto_skellige_12b8284314397886.json,COMPLETO,Glossario del dialetto parlato nelle isole Skellige.SkelligeTraduzioneAepDiArdAl
Societa delle Maghe dell Alto Monte,witcher-lore-racconti,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore-racconti\societa_delle_maghe_dell_alto_monte_a0144e178fce23f5.json,COMPLETO,Louise van Adelaide è la volitiva leader della neonata Società delle Maghe dell'
Bobolak,witcher-races,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-races\bobolak_5585e6301c871756.json,COMPLETO,"I bobolak sono una delle Razze Antiche meno umanoidi, quasi spazzate via dopo il"
Elfi,witcher-races,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-races\elfi_24e63ac513a0d5e3.json,VUOTO,
Gnomo,witcher-races,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-races\gnomo_4c5dd5d31d65b8c9.json,COMPLETO,"Gli gnomi sono i più raffinati artigiani del Continente, nonché esperti di alchi"
Nani,witcher-races,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-races\nani_dbf30463fcf83a5d.json,VUOTO,
Umani,witcher-races,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-races\umani_7d704613492c7519.json,VUOTO,
Vran,witcher-races,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-races\vran_8985f8336402176c.json,COMPLETO,"A volte detti “lucertoloidi”, i vran sono una delle specie più antiche e varie d"
Witcher,witcher-races,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-races\witcher_faec413b522374b8.json,VUOTO,
